species,original_count,filtered_out_count,final_count
Lactobacillus_paragasseri,305,22,283
Lactobacillus_johnsonii,228,7,221
Lactobacillus_acidophilus,146,5,141
Lactobacillus_gasseri,132,9,123
Lactobacillus_crispatus,123,11,112
