species,scheme,engine_severity,total_genome_count,non_refseq_count,refseq_count,pass_count,warn_count,fail_count
Citrobacter freundii,qualibact-v1.0,info,2254,2058,196,1859,251,88
Citrobacter koseri,qualibact-v1.0,warn,312,276,36,266,38,18
Citrobacter portucalensis,qualibact-v1.0,warn,466,409,57,377,39,20
Citrobacter rodentium,qualibact-v1.0,warn,260,257,3,235,18,57
Citrobacter sedlakii,qualibact-v1.0,warn,101,100,1,96,9,15
Citrobacter werkmanii,qualibact-v1.0,warn,252,245,7,224,22,16
Citrobacter youngae,qualibact-v1.0,warn,142,138,4,137,16,5
Clostridium beijerinckii,qualibact-v1.0,warn,112,100,12,92,19,11
Clostridium botulinum,qualibact-v1.0,info,998,928,70,884,109,32
Clostridium cagae,qualibact-v1.0,error,95,95,0,85,10,12
Clostridium difficile,qualibact-v1.0,info,27450,27207,243,25033,2814,1375
Clostridium innocuum,qualibact-v1.0,warn,182,176,6,167,23,16
Clostridium tetani,qualibact-v1.0,warn,177,162,15,156,19,12
Corynebacterium diphtheriae,qualibact-v1.0,info,1819,1762,57,1640,216,121
Corynebacterium glutamicum,qualibact-v1.0,warn,315,278,37,281,20,4
Corynebacterium jeikeium,qualibact-v1.0,warn,125,122,3,118,9,6
Corynebacterium pseudodiphtheriticum,qualibact-v1.0,warn,106,101,5,94,4,9
Corynebacterium striatum,qualibact-v1.0,warn,372,366,6,335,38,26
Corynebacterium ulcerans,qualibact-v1.0,warn,164,137,27,132,10,19
Cronobacter sakazakii,qualibact-v1.0,info,1557,1528,29,1466,214,38
Cronobacter turicensis,qualibact-v1.0,warn,108,103,5,100,8,10
Curtobacterium flaccumfaciens,qualibact-v1.0,warn,148,123,25,117,9,8
Cutibacterium acnes,qualibact-v1.0,info,964,916,48,853,53,71
Deinococcus radiodurans,qualibact-v1.0,warn,167,153,14,145,8,18
Dichelobacter nodosus,qualibact-v1.0,warn,167,150,17,131,19,19
Elizabethkingia anophelis,qualibact-v1.0,info,646,531,115,500,62,30
Enterobacter asburiae,qualibact-v1.0,warn,447,376,71,364,30,23
Enterobacter bugandensis,qualibact-v1.0,warn,303,274,29,273,15,21
Enterobacter cloacae,qualibact-v1.0,info,1266,1220,46,1104,127,57
Enterobacter hormaechei,qualibact-v1.0,info,8862,8331,531,7675,946,336
Enterobacter kobei,qualibact-v1.0,info,1010,953,57,877,131,45
Enterobacter ludwigii,qualibact-v1.0,warn,336,285,51,294,16,14
Enterobacter roggenkampii,qualibact-v1.0,info,829,755,74,695,93,32
Enterococcus avium,qualibact-v1.0,error,103,99,4,94,10,4
Enterococcus casseliflavus,qualibact-v1.0,warn,123,107,16,101,12,5
Enterococcus cecorum,qualibact-v1.0,warn,250,234,16,210,29,25
Enterococcus durans,qualibact-v1.0,warn,283,271,12,258,21,9
Enterococcus faecalis,qualibact-v1.0,info,9501,9122,379,8477,892,316
