species,scheme,metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
Achromobacter xylosoxidans,qualibact-v1.1,Total_Coding_Sequences,non-normal,5896.6227390180875,243.6888499849102,5860.0,5709.0,6068.0,359.0,5306.0,6633.0,5389.55,6417.84,5455.55,6365.0,5389.55,6870.0,5455.55,6365.0,Achromobacter xylosoxidans,387,28,normal,6194.357142857143,244.0246202868113,6155.5,6069.75,6301.75,232.0,5769.0,6870.0,5778.585,6833.28,5816.925,6686.4,0.5251937984496124,3.292974628472101e-07,297.734403839055
Achromobacter xylosoxidans,qualibact-v1.1,Genome_Size,non-normal,6456923.8630490955,233650.25473087537,6431808.0,6294921.0,6603166.0,308245.0,5869362.0,7048698.0,5940074.3,6968810.03,6005157.05,6936371.35,5940074.3,7359146.0,6005157.05,6936371.35,Achromobacter xylosoxidans,387,28,normal,6689464.928571428,230996.15753172923,6651424.5,6561282.5,6813182.75,251900.25,6268754.0,7359146.0,6285835.82,7320364.145,6354163.1,7165236.725,0.4657622739018088,1.0732991141224132e-05,232541.06552233294
Acinetobacter baumannii,qualibact-v1.0,N50,non-normal,142030.86714672152,72949.44652544054,135095.0,97846.0,163992.0,66146.0,14174.0,718672.0,24078.05,462404.86,36724.100000000006,361978.74999999994,24078.05,462404.86,36724.1,361978.75,Acinetobacter baumannii,26247,0,,,,,,,,,,,,,,,,
Acinetobacter baumannii,qualibact-v1.0,number,non-normal,117.30868289709301,55.58326488437509,104.0,83.0,135.0,52.0,20.0,779.0,35.0,379.77000000000044,48.0,267.84999999999854,35.0,379.77,48.0,267.85,Acinetobacter baumannii,26247,0,,,,,,,,,,,,,,,,
Acinetobacter baumannii,qualibact-v1.0,longest,non-normal,339141.76328723284,159932.13264327554,301951.0,252787.0,373150.0,120363.0,58519.0,1648648.0,90339.61,1067728.0,123739.0,815215.5999999994,90339.61,1067728.0,123739.0,815215.6,Acinetobacter baumannii,26247,0,,,,,,,,,,,,,,,,
Acinetobacter baumannii,qualibact-v1.0,GC_Content,non-normal,38.95335439478797,0.09537020840623246,38.9448,38.8805,39.0125,0.132000000000005,38.4113,39.5554,38.758869,39.260708,38.8046,39.164185,38.6896,39.7475,38.8046,39.1642,Acinetobacter baumannii,26247,1015,non-normal,39.04045467980295,0.10616188992377683,39.0363,38.96705,39.0997,0.13264999999999816,38.6896,39.7475,38.807421,39.33881,38.87088,39.27294,0.36505527913018826,3.282166399907187e-117,0.08715516432091401
Acinetobacter baumannii,qualibact-v1.0,Completeness_Specific,non-normal,99.99698975120967,0.006313039586314258,100.0,99.99,100.0,0.010000000000005116,99.7,100.0,99.97,100.0,99.98,100.0,96.86,100.0,99.98,100.0,Acinetobacter baumannii,26247,1015,non-normal,99.37708374384235,0.5624797033069628,99.55,99.14500000000001,99.78,0.6349999999999909,96.86,99.94,97.06490000000001,99.94,97.8445,99.94,0.9994285061149846,0.0,0.6199060073672971
Acinetobacter baumannii,qualibact-v1.0,Contamination,non-normal,0.1874903798529356,0.18525501081358944,0.13,0.08,0.23,0.15000000000000002,0.0,2.49,0.0,1.32,0.02,0.69,0.0,6.63,0.02,0.69,Acinetobacter baumannii,26247,1011,non-normal,0.5546587537091988,0.641906899885569,0.25,0.17,0.69,0.5199999999999999,0.02,6.63,0.06,4.243500000000006,0.17,2.045,0.6193412071737123,0.0,0.36716837385626316
Acinetobacter baumannii,qualibact-v1.0,Total_Coding_Sequences,non-normal,3790.3751666857165,131.26541728051347,3785.0,3705.0,3867.0,162.0,3232.0,4493.0,3465.0,4195.0,3552.0,4078.0,3452.0,4524.0,3552.0,4078.0,Acinetobacter baumannii,26247,1015,non-normal,3903.1724137931033,157.19692656588362,3896.0,3801.5,4008.0,206.5,3452.0,4524.0,3510.0,4435.719999999999,3593.5,4222.0,0.3442223845052148,6.930221261833757e-104,112.79724710738701
Acinetobacter baumannii,qualibact-v1.0,Genome_Size,non-normal,3957248.465310321,107916.20096923054,3953738.0,3885347.0,4019070.5,133723.5,3368508.0,4532195.0,3673196.9,4334398.69,3753055.95,4189169.4499999997,3638126.0,4613804.0,3753055.95,4189169.45,Acinetobacter baumannii,26247,1015,non-normal,4045473.0098522166,132990.87573770492,4036816.0,3963048.0,4125480.5,162432.5,3638126.0,4613804.0,3727654.14,4476849.75,3802031.3,4341561.25,0.32335717091570965,2.0381431353527534e-91,88224.54454189561
