species,metric,lower_bounds,upper_bounds
Citrobacter koseri,Total_Coding_Sequences,3700,5700
Citrobacter koseri,Genome_Size,4000000,5800000
Citrobacter portucalensis,N50,42000,
Citrobacter portucalensis,no_of_contigs,,400
Citrobacter portucalensis,GC_Content,50,54
Citrobacter portucalensis,Completeness_Specific,95,
Citrobacter portucalensis,Contamination,,5
Citrobacter portucalensis,Total_Coding_Sequences,3900,6300
Citrobacter portucalensis,Genome_Size,4200000,6400000
Citrobacter rodentium,N50,1000,
Citrobacter rodentium,no_of_contigs,,340
Citrobacter rodentium,GC_Content,50,56
Citrobacter rodentium,Completeness_Specific,4,
Citrobacter rodentium,Contamination,,2
Citrobacter rodentium,Total_Coding_Sequences,200,5800
Citrobacter rodentium,Genome_Size,100000,6000000
Citrobacter sedlakii,N50,176000,
Citrobacter sedlakii,no_of_contigs,,170
Citrobacter sedlakii,GC_Content,53,56
Citrobacter sedlakii,Completeness_Specific,97,
Citrobacter sedlakii,Contamination,,3
Citrobacter sedlakii,Total_Coding_Sequences,3700,5600
Citrobacter sedlakii,Genome_Size,4000000,5700000
Citrobacter werkmanii,N50,46000,
Citrobacter werkmanii,no_of_contigs,,330
Citrobacter werkmanii,GC_Content,50,54
Citrobacter werkmanii,Completeness_Specific,97,
Citrobacter werkmanii,Contamination,,6
Citrobacter werkmanii,Total_Coding_Sequences,3900,6600
Citrobacter werkmanii,Genome_Size,4300000,6600000
Citrobacter youngae,N50,109000,
Citrobacter youngae,no_of_contigs,,250
Citrobacter youngae,GC_Content,50,53
Citrobacter youngae,Completeness_Specific,95,
Citrobacter youngae,Contamination,,4
Citrobacter youngae,Total_Coding_Sequences,3800,6700
Citrobacter youngae,Genome_Size,4100000,6700000
Clostridium beijerinckii,N50,80000,
Clostridium beijerinckii,no_of_contigs,,310
Clostridium beijerinckii,GC_Content,28,31
Clostridium beijerinckii,Completeness_Specific,87,
Clostridium beijerinckii,Contamination,,10
Clostridium beijerinckii,Total_Coding_Sequences,4400,6500
Clostridium beijerinckii,Genome_Size,4900000,7200000
Clostridium botulinum,N50,10000,
Clostridium botulinum,no_of_contigs,,630
Clostridium botulinum,GC_Content,26,30
Clostridium botulinum,Completeness_Specific,93,
Clostridium botulinum,Contamination,,4
Clostridium botulinum,Total_Coding_Sequences,2400,4900
Clostridium botulinum,Genome_Size,2400000,4900000
Clostridium cagae,N50,23000,
Clostridium cagae,no_of_contigs,,330
Clostridium cagae,GC_Content,26,28
Clostridium cagae,Completeness_Specific,98,
Clostridium cagae,Contamination,,2
Clostridium cagae,Total_Coding_Sequences,2900,4400
Clostridium cagae,Genome_Size,3300000,4500000
Clostridium difficile,N50,7000,
Clostridium difficile,no_of_contigs,,880
Clostridium difficile,GC_Content,27,31
Clostridium difficile,Completeness_Specific,93,
Clostridium difficile,Contamination,,5
Clostridium difficile,Total_Coding_Sequences,3100,4800
Clostridium difficile,Genome_Size,3400000,5000000
Clostridium tetani,N50,85000,
Clostridium tetani,no_of_contigs,,120
Clostridium tetani,GC_Content,27,30
Clostridium tetani,Completeness_Specific,96,
Clostridium tetani,Contamination,,2
Clostridium tetani,Total_Coding_Sequences,2300,3500
Clostridium tetani,Genome_Size,2400000,3400000
Corynebacterium diphtheriae,N50,56000,
Corynebacterium diphtheriae,no_of_contigs,,120
Corynebacterium diphtheriae,GC_Content,52,55
Corynebacterium diphtheriae,Completeness_Specific,94,
Corynebacterium diphtheriae,Contamination,,3
Corynebacterium diphtheriae,Total_Coding_Sequences,1900,2800
Corynebacterium diphtheriae,Genome_Size,2100000,2900000
Corynebacterium glutamicum,N50,92000,
Corynebacterium glutamicum,no_of_contigs,,110
Corynebacterium glutamicum,GC_Content,52,56
Corynebacterium glutamicum,Completeness_Specific,90,
Corynebacterium glutamicum,Contamination,,5
Corynebacterium glutamicum,Total_Coding_Sequences,2300,3600
Corynebacterium glutamicum,Genome_Size,2500000,3800000
Corynebacterium jeikeium,N50,69000,
Corynebacterium jeikeium,no_of_contigs,,140
Corynebacterium jeikeium,GC_Content,60,64
Corynebacterium jeikeium,Completeness_Specific,94,
Corynebacterium jeikeium,Contamination,,4
Corynebacterium jeikeium,Total_Coding_Sequences,1700,2500
Corynebacterium jeikeium,Genome_Size,2000000,2800000
Corynebacterium pseudodiphtheriticum,N50,95000,
Corynebacterium pseudodiphtheriticum,no_of_contigs,,90
Corynebacterium pseudodiphtheriticum,GC_Content,54,57
Corynebacterium pseudodiphtheriticum,Completeness_Specific,97,
Corynebacterium pseudodiphtheriticum,Contamination,,2
Corynebacterium pseudodiphtheriticum,Total_Coding_Sequences,1800,2600
Corynebacterium pseudodiphtheriticum,Genome_Size,2000000,2800000
Corynebacterium striatum,N50,45000,
Corynebacterium striatum,no_of_contigs,,320
Corynebacterium striatum,GC_Content,57,61
Corynebacterium striatum,Completeness_Specific,97,
Corynebacterium striatum,Contamination,,4
Corynebacterium striatum,Total_Coding_Sequences,2200,3500
Corynebacterium striatum,Genome_Size,2300000,3400000
Corynebacterium ulcerans,N50,125000,
Corynebacterium ulcerans,no_of_contigs,,50
Corynebacterium ulcerans,GC_Content,52,55
Corynebacterium ulcerans,Completeness_Specific,92,
Corynebacterium ulcerans,Contamination,,2
Corynebacterium ulcerans,Total_Coding_Sequences,1900,2800
Corynebacterium ulcerans,Genome_Size,2100000,3000000
Cronobacter sakazakii,N50,83000,
Cronobacter sakazakii,no_of_contigs,,150
Cronobacter sakazakii,GC_Content,55,59
Cronobacter sakazakii,Completeness_Specific,95,
Cronobacter sakazakii,Contamination,,5
Cronobacter sakazakii,Total_Coding_Sequences,3500,5200
Cronobacter sakazakii,Genome_Size,3800000,5400000
Cronobacter turicensis,N50,174000,
Cronobacter turicensis,no_of_contigs,,120
Cronobacter turicensis,GC_Content,55,59
Cronobacter turicensis,Completeness_Specific,97,
Cronobacter turicensis,Contamination,,3
Cronobacter turicensis,Total_Coding_Sequences,3500,5000
Cronobacter turicensis,Genome_Size,3900000,5300000
Curtobacterium flaccumfaciens,N50,34000,
Curtobacterium flaccumfaciens,no_of_contigs,,230
Curtobacterium flaccumfaciens,GC_Content,69,73
Curtobacterium flaccumfaciens,Completeness_Specific,88,
Curtobacterium flaccumfaciens,Contamination,,11
Curtobacterium flaccumfaciens,Total_Coding_Sequences,3000,4200
Curtobacterium flaccumfaciens,Genome_Size,3200000,4400000
Cutibacterium acnes,N50,19000,
Cutibacterium acnes,no_of_contigs,,250
Cutibacterium acnes,GC_Content,58,62
Cutibacterium acnes,Completeness_Specific,94,
Cutibacterium acnes,Contamination,,4
Cutibacterium acnes,Total_Coding_Sequences,2000,2900
Cutibacterium acnes,Genome_Size,2200000,3000000
Deinococcus radiodurans,N50,12000,
Deinococcus radiodurans,no_of_contigs,,520
Deinococcus radiodurans,GC_Content,65,68
Deinococcus radiodurans,Completeness_Specific,90,
Deinococcus radiodurans,Contamination,,3
Deinococcus radiodurans,Total_Coding_Sequences,2700,3900
Deinococcus radiodurans,Genome_Size,2800000,3700000
Dichelobacter nodosus,N50,55000,
Dichelobacter nodosus,no_of_contigs,,110
Dichelobacter nodosus,GC_Content,42,46
Dichelobacter nodosus,Completeness_Specific,98,
Dichelobacter nodosus,Contamination,,6
Dichelobacter nodosus,Total_Coding_Sequences,1000,1600
Dichelobacter nodosus,Genome_Size,1100000,1700000
Elizabethkingia anophelis,N50,105000,
Elizabethkingia anophelis,no_of_contigs,,120
Elizabethkingia anophelis,GC_Content,34,37
Elizabethkingia anophelis,Completeness_Specific,93,
Elizabethkingia anophelis,Contamination,,7
Elizabethkingia anophelis,Total_Coding_Sequences,3100,4600
Elizabethkingia anophelis,Genome_Size,3400000,4900000
Enterobacter asburiae,N50,26000,
Enterobacter asburiae,no_of_contigs,,520
Enterobacter asburiae,GC_Content,53,58
Enterobacter asburiae,Completeness_Specific,95,
Enterobacter asburiae,Contamination,,6
Enterobacter asburiae,Total_Coding_Sequences,3700,6200
Enterobacter asburiae,Genome_Size,4000000,6200000
Enterobacter bugandensis,N50,78000,
Enterobacter bugandensis,no_of_contigs,,200
Enterobacter bugandensis,GC_Content,54,58
Enterobacter bugandensis,Completeness_Specific,98,
Enterobacter bugandensis,Contamination,,2
Enterobacter bugandensis,Total_Coding_Sequences,3700,5700
Enterobacter bugandensis,Genome_Size,4100000,5900000
Enterobacter cloacae,N50,37000,
Enterobacter cloacae,no_of_contigs,,460
Enterobacter cloacae,GC_Content,51,58
Enterobacter cloacae,Completeness_Specific,89,
Enterobacter cloacae,Contamination,,5
Enterobacter cloacae,Total_Coding_Sequences,3800,6500
Enterobacter cloacae,Genome_Size,4100000,6400000
Enterobacter hormaechei,N50,57000,
Enterobacter hormaechei,no_of_contigs,,300
Enterobacter hormaechei,GC_Content,53,57
Enterobacter hormaechei,Completeness_Specific,96,
Enterobacter hormaechei,Contamination,,5
Enterobacter hormaechei,Total_Coding_Sequences,3700,6300
Enterobacter hormaechei,Genome_Size,4000000,6300000
Enterobacter kobei,N50,54000,
Enterobacter kobei,no_of_contigs,,370
Enterobacter kobei,GC_Content,53,57
Enterobacter kobei,Completeness_Specific,93,
Enterobacter kobei,Contamination,,4
Enterobacter kobei,Total_Coding_Sequences,3800,6300
Enterobacter kobei,Genome_Size,4100000,6400000
Enterobacter ludwigii,N50,72000,
Enterobacter ludwigii,no_of_contigs,,220
Enterobacter ludwigii,GC_Content,52,56
Enterobacter ludwigii,Completeness_Specific,93,
Enterobacter ludwigii,Contamination,,3
Enterobacter ludwigii,Total_Coding_Sequences,3800,6300
Enterobacter ludwigii,Genome_Size,4100000,6300000
Enterobacter roggenkampii,N50,41000,
Enterobacter roggenkampii,no_of_contigs,,650
Enterobacter roggenkampii,GC_Content,54,58
Enterobacter roggenkampii,Completeness_Specific,93,
Enterobacter roggenkampii,Contamination,,3
Enterobacter roggenkampii,Total_Coding_Sequences,3700,6200
Enterobacter roggenkampii,Genome_Size,4100000,6300000
Enterococcus avium,N50,22000,
Enterococcus avium,no_of_contigs,,430
Enterococcus avium,GC_Content,37,41
Enterococcus avium,Completeness_Specific,92,
Enterococcus avium,Contamination,,12
Enterococcus avium,Total_Coding_Sequences,3300,5400
Enterococcus avium,Genome_Size,3300000,5400000
Enterococcus casseliflavus,N50,74000,
Enterococcus casseliflavus,no_of_contigs,,160
Enterococcus casseliflavus,GC_Content,40,44
Enterococcus casseliflavus,Completeness_Specific,94,
Enterococcus casseliflavus,Contamination,,13
Enterococcus casseliflavus,Total_Coding_Sequences,2800,4200
Enterococcus casseliflavus,Genome_Size,2900000,4300000
Enterococcus cecorum,N50,44000,
Enterococcus cecorum,no_of_contigs,,230
Enterococcus cecorum,GC_Content,35,38
Enterococcus cecorum,Completeness_Specific,92,
Enterococcus cecorum,Contamination,,3
Enterococcus cecorum,Total_Coding_Sequences,1700,3100
Enterococcus cecorum,Genome_Size,1800000,3100000
Enterococcus durans,N50,31000,
Enterococcus durans,no_of_contigs,,250
Enterococcus durans,GC_Content,36,40
Enterococcus durans,Completeness_Specific,96,
Enterococcus durans,Contamination,,3
Enterococcus durans,Total_Coding_Sequences,2300,3500
Enterococcus durans,Genome_Size,2400000,3600000
Enterococcus faecalis,N50,42000,
Enterococcus faecalis,no_of_contigs,,250
Enterococcus faecalis,GC_Content,35,39
Enterococcus faecalis,Completeness_Specific,95,
Enterococcus faecalis,Contamination,,4
Enterococcus faecalis,Total_Coding_Sequences,2200,4000
Enterococcus faecalis,Genome_Size,2300000,3900000
Enterococcus faecium,N50,14000,
Enterococcus faecium,no_of_contigs,,620
Enterococcus faecium,GC_Content,36,40
Enterococcus faecium,Completeness_Specific,94,
Enterococcus faecium,Contamination,,6
Enterococcus faecium,Total_Coding_Sequences,2100,3900
Enterococcus faecium,Genome_Size,2100000,3800000
Enterococcus gallinarum,N50,68000,
Enterococcus gallinarum,no_of_contigs,,200
Enterococcus gallinarum,GC_Content,38,42
Enterococcus gallinarum,Completeness_Specific,89,
Enterococcus gallinarum,Contamination,,13
Enterococcus gallinarum,Total_Coding_Sequences,2600,4100
Enterococcus gallinarum,Genome_Size,2800000,4200000
Enterococcus hirae,N50,34000,
Enterococcus hirae,no_of_contigs,,230
Enterococcus hirae,GC_Content,35,39
Enterococcus hirae,Completeness_Specific,91,
Enterococcus hirae,Contamination,,3
Enterococcus hirae,Total_Coding_Sequences,2200,3500
Enterococcus hirae,Genome_Size,2400000,3600000
Enterococcus lactis,N50,32000,
Enterococcus lactis,no_of_contigs,,250
Enterococcus lactis,GC_Content,36,40
Enterococcus lactis,Completeness_Specific,95,
Enterococcus lactis,Contamination,,3
Enterococcus lactis,Total_Coding_Sequences,2100,3400
Enterococcus lactis,Genome_Size,2200000,3400000
Erwinia amylovora,N50,41000,
Erwinia amylovora,no_of_contigs,,220
Erwinia amylovora,GC_Content,52,55
Erwinia amylovora,Completeness_Specific,94,
Erwinia amylovora,Contamination,,2
Erwinia amylovora,Total_Coding_Sequences,3000,4000
Erwinia amylovora,Genome_Size,3300000,4300000
Erysipelothrix rhusiopathiae,N50,20000,
Erysipelothrix rhusiopathiae,no_of_contigs,,160
Erysipelothrix rhusiopathiae,GC_Content,35,38
Erysipelothrix rhusiopathiae,Completeness_Specific,88,
Erysipelothrix rhusiopathiae,Contamination,,5
Erysipelothrix rhusiopathiae,Total_Coding_Sequences,1400,2200
Erysipelothrix rhusiopathiae,Genome_Size,1500000,2200000
Escherichia albertii,N50,24000,
Escherichia albertii,no_of_contigs,,520
Escherichia albertii,GC_Content,48,52
Escherichia albertii,Completeness_Specific,96,
Escherichia albertii,Contamination,,3
Escherichia albertii,Total_Coding_Sequences,3700,6100
Escherichia albertii,Genome_Size,3900000,6000000
Escherichia coli,N50,18000,
Escherichia coli,no_of_contigs,,770
Escherichia coli,GC_Content,49,53
Escherichia coli,Completeness_Specific,94,
Escherichia coli,Contamination,,17
Escherichia coli,Total_Coding_Sequences,3500,7200
Escherichia coli,Genome_Size,3700000,6900000
Escherichia fergusonii,N50,63000,
Escherichia fergusonii,no_of_contigs,,240
Escherichia fergusonii,GC_Content,48,52
Escherichia fergusonii,Completeness_Specific,88,
Escherichia fergusonii,Contamination,,10
Escherichia fergusonii,Total_Coding_Sequences,3600,5700
Escherichia fergusonii,Genome_Size,3900000,5800000
Escherichia marmotae,N50,49000,
Escherichia marmotae,no_of_contigs,,510
Escherichia marmotae,GC_Content,49,52
Escherichia marmotae,Completeness_Specific,97,
Escherichia marmotae,Contamination,,3
Escherichia marmotae,Total_Coding_Sequences,3600,5700
Escherichia marmotae,Genome_Size,3900000,5800000
Escherichia ruysiae,N50,54000,
Escherichia ruysiae,no_of_contigs,,270
Escherichia ruysiae,GC_Content,49,52
Escherichia ruysiae,Completeness_Specific,98,
Escherichia ruysiae,Contamination,,3
Escherichia ruysiae,Total_Coding_Sequences,3600,5500
Escherichia ruysiae,Genome_Size,3900000,5600000
Flavobacterium psychrophilum,N50,39000,
Flavobacterium psychrophilum,no_of_contigs,,510
Flavobacterium psychrophilum,GC_Content,31,34
Flavobacterium psychrophilum,Completeness_Specific,91,
Flavobacterium psychrophilum,Contamination,,2
Flavobacterium psychrophilum,Total_Coding_Sequences,2100,3300
Flavobacterium psychrophilum,Genome_Size,2300000,3600000
Francisella tularensis,N50,17000,
Francisella tularensis,no_of_contigs,,200
Francisella tularensis,GC_Content,31,34
Francisella tularensis,Completeness_Specific,91,
Francisella tularensis,Contamination,,5
Francisella tularensis,Total_Coding_Sequences,1600,2300
Francisella tularensis,Genome_Size,1500000,2300000
Fusobacterium necrophorum,N50,34000,
Fusobacterium necrophorum,no_of_contigs,,170
Fusobacterium necrophorum,GC_Content,33,37
Fusobacterium necrophorum,Completeness_Specific,91,
Fusobacterium necrophorum,Contamination,,6
Fusobacterium necrophorum,Total_Coding_Sequences,1600,2700
Fusobacterium necrophorum,Genome_Size,1700000,2700000
Glaesserella parasuis,N50,15000,
Glaesserella parasuis,no_of_contigs,,370
Glaesserella parasuis,GC_Content,38,42
Glaesserella parasuis,Completeness_Specific,84,
Glaesserella parasuis,Contamination,,8
Glaesserella parasuis,Total_Coding_Sequences,1800,2900
Glaesserella parasuis,Genome_Size,1900000,2900000
Haemophilus haemolyticus,N50,41000,
Haemophilus haemolyticus,no_of_contigs,,120
Haemophilus haemolyticus,GC_Content,37,40
Haemophilus haemolyticus,Completeness_Specific,93,
Haemophilus haemolyticus,Contamination,,3
Haemophilus haemolyticus,Total_Coding_Sequences,1500,2200
Haemophilus haemolyticus,Genome_Size,1600000,2300000
Haemophilus influenzae,N50,26000,
Haemophilus influenzae,no_of_contigs,,150
Haemophilus influenzae,GC_Content,36,40
Haemophilus influenzae,Completeness_Specific,92,
Haemophilus influenzae,Contamination,,4
Haemophilus influenzae,Total_Coding_Sequences,1500,2400
Haemophilus influenzae,Genome_Size,1500000,2400000
Haemophilus parainfluenzae,N50,9000,
Haemophilus parainfluenzae,no_of_contigs,,360
Haemophilus parainfluenzae,GC_Content,38,41
Haemophilus parainfluenzae,Completeness_Specific,97,
Haemophilus parainfluenzae,Contamination,,3
Haemophilus parainfluenzae,Total_Coding_Sequences,1600,2500
Haemophilus parainfluenzae,Genome_Size,1600000,2500000
Hafnia paralvei,N50,71000,
Hafnia paralvei,no_of_contigs,,190
Hafnia paralvei,GC_Content,46,50
Hafnia paralvei,Completeness_Specific,98,
Hafnia paralvei,Contamination,,2
Hafnia paralvei,Total_Coding_Sequences,3500,5300
Hafnia paralvei,Genome_Size,4000000,5600000
Helicobacter pylori,N50,28000,
Helicobacter pylori,no_of_contigs,,150
Helicobacter pylori,GC_Content,37,41
Helicobacter pylori,Completeness_Specific,94,
Helicobacter pylori,Contamination,,3
Helicobacter pylori,Total_Coding_Sequences,1300,1900
Helicobacter pylori,Genome_Size,1300000,2000000
Hungateiclostridium thermocellum,N50,70000,
Hungateiclostridium thermocellum,no_of_contigs,,230
Hungateiclostridium thermocellum,GC_Content,37,41
Hungateiclostridium thermocellum,Completeness_Specific,96,
Hungateiclostridium thermocellum,Contamination,,5
Hungateiclostridium thermocellum,Total_Coding_Sequences,2700,3900
Hungateiclostridium thermocellum,Genome_Size,3100000,4400000
Janthinobacterium lividum,N50,13000,
Janthinobacterium lividum,no_of_contigs,,940
Janthinobacterium lividum,GC_Content,61,64
Janthinobacterium lividum,Completeness_Specific,98,
Janthinobacterium lividum,Contamination,,10
Janthinobacterium lividum,Total_Coding_Sequences,4800,6700
Janthinobacterium lividum,Genome_Size,5400000,7500000
Klebsiella aerogenes,N50,68000,
Klebsiella aerogenes,no_of_contigs,,220
Klebsiella aerogenes,GC_Content,53,57
Klebsiella aerogenes,Completeness_Specific,89,
Klebsiella aerogenes,Contamination,,11
Klebsiella aerogenes,Total_Coding_Sequences,4100,6500
Klebsiella aerogenes,Genome_Size,4400000,6600000
Klebsiella africana,Genome_Size,4500000,6200000
Klebsiella africana,GC_Content,55,59
Klebsiella africana,Total_Coding_Sequences,4100,5800
Klebsiella africana,Completeness_Specific,99,
Klebsiella africana,Contamination,,2
Klebsiella africana,no_of_contigs,,60
Klebsiella africana,N50,281000,
Klebsiella grimontii,N50,83000,
Klebsiella grimontii,no_of_contigs,,350
Klebsiella grimontii,GC_Content,53,58
Klebsiella grimontii,Completeness_Specific,96,
Klebsiella grimontii,Contamination,,3
Klebsiella grimontii,Total_Coding_Sequences,4600,7300
Klebsiella grimontii,Genome_Size,5000000,7500000
Klebsiella huaxiensis,Genome_Size,5500000,7100000
Klebsiella huaxiensis,GC_Content,52,55
Klebsiella huaxiensis,Total_Coding_Sequences,5000,6800
Klebsiella huaxiensis,Completeness_Specific,99,
Klebsiella huaxiensis,Contamination,,4
Klebsiella huaxiensis,no_of_contigs,,80
Klebsiella huaxiensis,N50,176000,
Klebsiella michiganensis,N50,50000,
Klebsiella michiganensis,no_of_contigs,,420
Klebsiella michiganensis,GC_Content,54,58
Klebsiella michiganensis,Completeness_Specific,94,
Klebsiella michiganensis,Contamination,,5
Klebsiella michiganensis,Total_Coding_Sequences,4700,7600
Klebsiella michiganensis,Genome_Size,5100000,7700000
Klebsiella ornithinolytica,N50,75000,
Klebsiella ornithinolytica,no_of_contigs,,380
Klebsiella ornithinolytica,GC_Content,53,59
Klebsiella ornithinolytica,Completeness_Specific,95,
Klebsiella ornithinolytica,Contamination,,5
Klebsiella ornithinolytica,Total_Coding_Sequences,4300,7000
Klebsiella ornithinolytica,Genome_Size,4800000,7200000
Klebsiella oxytoca,N50,62000,
Klebsiella oxytoca,no_of_contigs,,390
Klebsiella oxytoca,GC_Content,53,57
Klebsiella oxytoca,Completeness_Specific,95,
Klebsiella oxytoca,Contamination,,9
Klebsiella oxytoca,Total_Coding_Sequences,4500,7200
Klebsiella oxytoca,Genome_Size,4800000,7500000
Klebsiella pasteurii,Genome_Size,5200000,7200000
Klebsiella pasteurii,GC_Content,53,57
Klebsiella pasteurii,Total_Coding_Sequences,4700,6900
Klebsiella pasteurii,Completeness_Specific,99,
Klebsiella pasteurii,Contamination,,2
Klebsiella pasteurii,no_of_contigs,,110
Klebsiella pasteurii,N50,216000,
Klebsiella planticola,N50,69000,
Klebsiella planticola,no_of_contigs,,430
Klebsiella planticola,GC_Content,53,57
Klebsiella planticola,Completeness_Specific,98,
Klebsiella planticola,Contamination,,5
Klebsiella planticola,Total_Coding_Sequences,4400,7300
Klebsiella planticola,Genome_Size,4700000,7500000
Klebsiella pneumoniae,N50,49000,
Klebsiella pneumoniae,no_of_contigs,,430
Klebsiella pneumoniae,GC_Content,55,60
Klebsiella pneumoniae,Completeness_Specific,94,
Klebsiella pneumoniae,Contamination,,6
Klebsiella pneumoniae,Total_Coding_Sequences,4300,7200
Klebsiella pneumoniae,Genome_Size,4400000,7100000
Klebsiella quasipneumoniae,Genome_Size,3700000,7500000
Klebsiella quasipneumoniae,GC_Content,55,60
Klebsiella quasipneumoniae,Total_Coding_Sequences,3300,7300
Klebsiella quasipneumoniae,Completeness_Specific,91,
Klebsiella quasipneumoniae,Contamination,,2
Klebsiella quasipneumoniae,no_of_contigs,,3460
Klebsiella quasipneumoniae,N50,4000,
Klebsiella quasivariicola,Genome_Size,5100000,6500000
Klebsiella quasivariicola,GC_Content,55,58
Klebsiella quasivariicola,Total_Coding_Sequences,4700,6300
Klebsiella quasivariicola,Completeness_Specific,99,
Klebsiella quasivariicola,Contamination,,2
Klebsiella quasivariicola,no_of_contigs,,120
Klebsiella quasivariicola,N50,152000,
Klebsiella spallanzanii,Genome_Size,5300000,7100000
Klebsiella spallanzanii,GC_Content,52,55
Klebsiella spallanzanii,Total_Coding_Sequences,5000,6600
Klebsiella spallanzanii,Completeness_Specific,99,
Klebsiella spallanzanii,Contamination,,4
Klebsiella spallanzanii,no_of_contigs,,170
Klebsiella spallanzanii,N50,103000,
Klebsiella variicola,N50,34000,
Klebsiella variicola,no_of_contigs,,340
Klebsiella variicola,GC_Content,55,59
Klebsiella variicola,Completeness_Specific,97,
Klebsiella variicola,Contamination,,4
Klebsiella variicola,Total_Coding_Sequences,4400,7100
Klebsiella variicola,Genome_Size,4700000,7200000
Lacticaseibacillus paracasei,N50,26000,
Lacticaseibacillus paracasei,no_of_contigs,,350
Lacticaseibacillus paracasei,GC_Content,45,48
Lacticaseibacillus paracasei,Completeness_Specific,84,
Lacticaseibacillus paracasei,Contamination,,15
Lacticaseibacillus paracasei,Total_Coding_Sequences,2300,3700
Lacticaseibacillus paracasei,Genome_Size,2300000,3800000
Lacticaseibacillus rhamnosus,N50,45000,
Lacticaseibacillus rhamnosus,no_of_contigs,,210
Lacticaseibacillus rhamnosus,GC_Content,45,48
Lacticaseibacillus rhamnosus,Completeness_Specific,95,
Lacticaseibacillus rhamnosus,Contamination,,4
Lacticaseibacillus rhamnosus,Total_Coding_Sequences,2300,3400
Lacticaseibacillus rhamnosus,Genome_Size,2500000,3600000
Lactiplantibacillus plantarum,N50,48000,
Lactiplantibacillus plantarum,no_of_contigs,,290
Lactiplantibacillus plantarum,GC_Content,43,47
Lactiplantibacillus plantarum,Completeness_Specific,96,
Lactiplantibacillus plantarum,Contamination,,5
Lactiplantibacillus plantarum,Total_Coding_Sequences,2400,4000
Lactiplantibacillus plantarum,Genome_Size,2500000,4100000
Lactobacillus acidophilus,N50,103000,
Lactobacillus acidophilus,no_of_contigs,,70
Lactobacillus acidophilus,GC_Content,33,36
Lactobacillus acidophilus,Completeness_Specific,91,
Lactobacillus acidophilus,Contamination,,3
Lactobacillus acidophilus,Total_Coding_Sequences,1600,2300
Lactobacillus acidophilus,Genome_Size,1700000,2400000
Lactobacillus crispatus,N50,9000,
Lactobacillus crispatus,no_of_contigs,,490
Lactobacillus crispatus,GC_Content,35,39
Lactobacillus crispatus,Completeness_Specific,92,
Lactobacillus crispatus,Contamination,,10
Lactobacillus crispatus,Total_Coding_Sequences,1700,3200
Lactobacillus crispatus,Genome_Size,1700000,3200000
Lactobacillus gasseri,N50,40000,
Lactobacillus gasseri,no_of_contigs,,160
Lactobacillus gasseri,GC_Content,33,37
Lactobacillus gasseri,Completeness_Specific,90,
Lactobacillus gasseri,Contamination,,6
Lactobacillus gasseri,Total_Coding_Sequences,1500,2500
Lactobacillus gasseri,Genome_Size,1600000,2400000
Lactobacillus johnsonii,N50,28000,
Lactobacillus johnsonii,no_of_contigs,,180
Lactobacillus johnsonii,GC_Content,33,37
Lactobacillus johnsonii,Completeness_Specific,89,
Lactobacillus johnsonii,Contamination,,7
Lactobacillus johnsonii,Total_Coding_Sequences,1500,2500
Lactobacillus johnsonii,Genome_Size,1500000,2500000
Lactobacillus paragasseri,N50,37000,
Lactobacillus paragasseri,no_of_contigs,,170
Lactobacillus paragasseri,GC_Content,33,37
Lactobacillus paragasseri,Completeness_Specific,96,
Lactobacillus paragasseri,Contamination,,2
Lactobacillus paragasseri,Total_Coding_Sequences,1500,2400
Lactobacillus paragasseri,Genome_Size,1600000,2400000
Lactococcus lactis,N50,13000,
Lactococcus lactis,no_of_contigs,,310
Lactococcus lactis,GC_Content,33,37
Lactococcus lactis,Completeness_Specific,93,
Lactococcus lactis,Contamination,,6
Lactococcus lactis,Total_Coding_Sequences,1900,3400
Lactococcus lactis,Genome_Size,1900000,3300000
Legionella longbeachae,N50,29000,
Legionella longbeachae,no_of_contigs,,280
Legionella longbeachae,GC_Content,36,39
Legionella longbeachae,Completeness_Specific,94,
Legionella longbeachae,Contamination,,9
Legionella longbeachae,Total_Coding_Sequences,3000,4300
Legionella longbeachae,Genome_Size,3500000,4800000
Legionella pneumophila,N50,43000,
Legionella pneumophila,no_of_contigs,,250
Legionella pneumophila,GC_Content,37,40
Legionella pneumophila,Completeness_Specific,94,
Legionella pneumophila,Contamination,,4
Legionella pneumophila,Total_Coding_Sequences,2500,3800
Legionella pneumophila,Genome_Size,2900000,4200000
Leptospira borgpetersenii,N50,29000,
Leptospira borgpetersenii,no_of_contigs,,440
Leptospira borgpetersenii,GC_Content,39,42
Leptospira borgpetersenii,Completeness_Specific,68,
Leptospira borgpetersenii,Contamination,,10
Leptospira borgpetersenii,Total_Coding_Sequences,2900,4100
Leptospira borgpetersenii,Genome_Size,3300000,4500000
Leptospira interrogans,N50,9000,
Leptospira interrogans,no_of_contigs,,930
Leptospira interrogans,GC_Content,33,37
Leptospira interrogans,Completeness_Specific,72,
Leptospira interrogans,Contamination,,14
Leptospira interrogans,Total_Coding_Sequences,3200,5300
Leptospira interrogans,Genome_Size,3900000,6100000
Ligilactobacillus salivarius,N50,15000,
Ligilactobacillus salivarius,no_of_contigs,,280
Ligilactobacillus salivarius,GC_Content,31,35
Ligilactobacillus salivarius,Completeness_Specific,91,
Ligilactobacillus salivarius,Contamination,,5
Ligilactobacillus salivarius,Total_Coding_Sequences,1500,2600
Ligilactobacillus salivarius,Genome_Size,1600000,2600000
