metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,308341.9405594406,117366.15463796818,299780.0,227638.0,365594.5,137956.5,63242.0,693693.0,70996.475,618195.6999999993,93559.0,531187.0,70996.48,618195.7,93559.0,531187.0,Klebsiella planticola,286,0,,,,,,,,,,,,,,,,
number,non-normal,119.56643356643356,69.88277491583956,95.0,70.25,140.0,69.75,42.0,443.0,45.7,401.22499999999974,52.375,321.0,45.7,401.22,52.38,321.0,Klebsiella planticola,286,0,,,,,,,,,,,,,,,,
longest,non-normal,836925.4650349651,358541.5054283426,781046.0,554171.5,1012156.0,457984.5,172956.0,2049480.0,225949.925,1871269.649999999,244724.5,1719527.5,225949.92,1871269.65,244724.5,1719527.5,Klebsiella planticola,286,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,55.51974615384616,0.26603377112748666,55.57805,55.322975,55.715925,0.392949999999999,54.905,55.9661,54.91819,55.93226,54.9835,55.91305,54.7763,55.9323,54.9835,55.913,Klebsiella planticola,286,27,non-normal,55.41991481481482,0.31747918532378516,55.6106,55.13435,55.6619,0.5275500000000051,54.7763,55.8848,54.798985,55.873971,54.889725,55.830655,0.2305102305102305,0.12208408182911344,0.10292084952084961
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,97.77,100.0,100.0,100.0,Klebsiella planticola,286,27,non-normal,99.25444444444445,0.33825624007639166,99.35,99.28999999999999,99.38,0.09000000000000341,97.77,99.66,97.8779,99.6314,98.3095,99.517,1.0,2.8819960715142014e-39,0.745555555555558
Contamination,non-normal,1.1098251748251746,0.5909601386896365,1.05,0.5825,1.4575,0.875,0.07,2.82,0.2185,2.7504999999999984,0.28,2.2512499999999998,0.22,3.01,0.28,2.25,Klebsiella planticola,286,27,non-normal,1.785925925925926,0.43031650074024336,1.63,1.55,1.915,0.365,1.01,3.01,1.0529,2.9619,1.2245000000000001,2.7694999999999994,0.6420616420616421,2.5394188224041027e-10,0.6761007511007513
Total_Coding_Sequences,non-normal,5531.601398601399,370.58354361094706,5495.5,5173.5,5891.75,718.25,4947.0,6311.0,4958.5,6274.5,4994.25,6186.625,4921.0,6628.0,4994.25,6186.62,Klebsiella planticola,286,27,normal,5679.777777777777,384.9959435412403,5624.0,5376.0,6048.0,672.0,4921.0,6628.0,4961.95,6574.05,5125.75,6358.249999999999,0.2531727531727532,0.06965640399628,152.3680393680394
Genome_Size,non-normal,5876297.206293706,290229.4625465252,5851328.5,5602761.0,6147787.0,545026.0,5392769.0,6410175.0,5410183.05,6398601.625,5439504.5,6345075.5,5229639.0,6745406.0,5439504.5,6345075.5,Klebsiella planticola,286,27,normal,5930837.703703703,342689.38497732085,5864425.0,5649936.5,6232477.0,582540.5,5229639.0,6745406.0,5270331.34,6703338.5200000005,5433100.7,6535068.6,0.1686091686091686,0.4341131279301499,73875.31610981615
