metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,87138.52140309155,44258.69043675617,76307.5,54198.0,112553.0,58355.0,13220.0,326368.0,20929.775,222876.125,28867.0,177822.0,20929.78,222876.12,28867.0,177822.0,Streptococcus suis,5046,0,,,,,,,,,,,,,,,,
number,non-normal,97.01466508125247,52.40462131409897,83.0,57.0,125.0,68.0,22.0,336.0,29.225,278.0,34.0,231.875,29.22,278.0,34.0,231.88,Streptococcus suis,5046,0,,,,,,,,,,,,,,,,
longest,non-normal,222050.9252873563,92547.68693190803,198569.5,149782.5,296057.25,146274.75,41005.0,628686.0,65175.975,477161.1249999999,87414.75,416395.625,65175.98,477161.12,87414.75,416395.62,Streptococcus suis,5046,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,41.18049201347602,0.46932100117288905,41.159,41.063500000000005,41.291125,0.2276249999999962,39.0498,43.8955,39.2995925,43.679472499999996,39.5774875,42.157650000000004,39.2996,43.6849,39.5775,42.1577,Streptococcus suis,5046,180,non-normal,41.224832222222226,0.24026230958303235,41.224000000000004,41.09925,41.314875,0.21562500000000284,40.839,43.6849,40.8435645,41.845585499999984,40.948405,41.493185,0.14337428986656098,0.0013964556879351205,0.10938320782137652
Completeness_Specific,non-normal,99.99778438367022,0.005342591475756634,100.0,100.0,100.0,0.0,99.94,100.0,99.97,100.0,99.98125,100.0,93.2,100.0,99.98,100.0,Streptococcus suis,5046,180,non-normal,97.8627222222222,1.6410859651650573,98.495,96.5775,98.9,2.322500000000005,93.2,99.88,93.58485,99.88,94.31425,99.88,1.0,5.4e-323,2.1350621614480114
Contamination,non-normal,0.06048355132778439,0.08022834550620832,0.03,0.02,0.07,0.05,0.0,1.08,0.0,0.5,0.0,0.27,0.0,4.42,0.0,0.27,Streptococcus suis,5046,179,non-normal,0.6903910614525138,0.821820001720185,0.35,0.09,1.0150000000000001,0.9250000000000002,0.09,4.42,0.09,4.313199999999998,0.09,3.1454999999999966,0.8065794688862465,7.875424762358331e-121,0.6299075101247296
Total_Coding_Sequences,non-normal,2121.918351169243,143.85087620847378,2103.0,2013.0,2207.0,194.0,1809.0,2685.0,1860.0,2547.0,1895.125,2437.875,1860.0,2643.0,1895.12,2437.88,Streptococcus suis,5046,180,non-normal,2164.1055555555554,131.48487438240957,2138.5,2063.75,2256.0,192.25,1922.0,2643.0,1922.895,2539.179999999999,1971.25,2479.775,0.18285770907649623,1.4723884135057998e-05,42.59593737613952
Genome_Size,non-normal,2160240.9740388426,125781.82971018231,2138012.5,2068007.5,2229967.5,161960.0,1873641.0,2678468.0,1913862.625,2513218.0749999997,1952569.0,2453585.75,1913862.62,2626999.0,1952569.0,2453585.75,Streptococcus suis,5046,180,non-normal,2202828.066666667,126231.91780095344,2178550.0,2117231.0,2256233.75,139002.75,1965446.0,2626999.0,1979265.695,2575482.7999999993,2017619.9,2547488.775,0.20317743427137006,9.112349927699003e-07,42665.8243493196
