species,original_count,filtered_out_count,final_count
Escherichia_coli,399884,11452,388432
Escherichia_albertii,693,27,666
Escherichia_marmotae,524,31,493
Escherichia_fergusonii,241,11,230
Escherichia_ruysiae,130,10,120
