metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,213018.13684210528,203997.0384709497,165513.0,32501.5,316311.25,283809.75,11170.0,658043.0,11861.74,653201.765,15973.275,638031.9,11861.74,653201.76,15973.28,638031.9,Bifidobacterium breve,190,0,,,,,,,,,,,,,,,,
number,non-normal,96.08421052631579,91.38687722884445,47.0,28.25,147.75,119.5,7.0,404.0,7.0,403.055,9.0,316.275,7.0,403.06,9.0,316.27,Bifidobacterium breve,190,0,,,,,,,,,,,,,,,,
longest,non-normal,378149.5315789474,293123.4287532105,331963.0,94025.0,588293.75,494268.75,37234.0,1065402.0,46725.58,998054.6850000005,59001.75,975225.55,46725.58,998054.69,59001.75,975225.55,Bifidobacterium breve,190,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,58.778359473684205,0.1178209903992929,58.8071,58.6689,58.868575,0.19967499999999916,58.4983,59.0883,58.533170500000004,59.041239,58.5766975,58.994395,58.5259,59.3758,58.5767,58.9944,Bifidobacterium breve,190,59,non-normal,58.80746779661018,0.17506634426738094,58.8179,58.69885,58.8896,0.1907500000000013,58.5259,59.3758,58.531497,59.351614,58.56212,59.201229999999995,0.25298840321141836,0.0048976695466377874,0.044237493309545864
Completeness_Specific,non-normal,99.90715789473684,0.1514224704029635,99.96,99.9,99.98,0.0799999999999983,99.08,99.99,99.12724999999999,99.99,99.35625,99.99,94.77,99.99,99.36,99.99,Bifidobacterium breve,190,59,non-normal,98.44084745762713,0.9984467396837262,98.79,97.87,99.225,1.3549999999999898,94.77,99.61,95.00489999999999,99.61,96.12,99.52,0.9473684210526315,7.352524647351681e-47,1.4663104371097218
Contamination,non-normal,1.6031578947368421,2.933781200594889,0.11,0.07,1.95,1.88,0.01,14.44,0.01,12.521650000000013,0.02,10.018250000000013,0.01,12.52,0.02,10.02,Bifidobacterium breve,190,59,non-normal,0.906271186440678,0.8800749165050121,0.72,0.27,1.14,0.8699999999999999,0.15,4.14,0.17609999999999998,4.0037,0.24,3.67,0.6251561106155219,3.628598777636712e-17,1.2331097234611954
Total_Coding_Sequences,non-normal,2028.1947368421052,110.12666856939742,2010.0,1946.25,2082.5,136.25,1840.0,2427.0,1841.89,2373.135,1866.0,2287.25,1841.89,2373.14,1866.0,2287.25,Bifidobacterium breve,190,59,non-normal,2068.35593220339,98.0390380067223,2023.0,1997.0,2111.0,114.0,1943.0,2372.0,1945.32,2367.65,1951.45,2314.7,0.287778768956289,0.0008528883006813745,40.740142729705624
Genome_Size,non-normal,2349017.3421052634,78905.67788171164,2337654.0,2282778.25,2389639.75,106861.5,2200810.0,2568621.0,2201029.24,2567900.91,2243201.75,2528787.175,2201029.24,2589602.0,2243201.75,2528787.17,Bifidobacterium breve,190,59,non-normal,2351239.6779661016,79289.5217937788,2324647.0,2289234.0,2416980.0,127746.0,2247738.0,2589602.0,2252905.51,2574080.91,2267288.15,2524516.0,0.15557537912578057,0.20002114229221318,15354.858965209633
