species,original_count,filtered_out_count,final_count
Corynebacterium_diphtheriae,1978,97,1881
Corynebacterium_striatum,400,30,370
Corynebacterium_glutamicum,306,5,301
Corynebacterium_ulcerans,161,13,148
Corynebacterium_jeikeium,135,8,127
Corynebacterium_pseudodiphtheriticum,110,9,101
