metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,322925.39837398374,99757.24743879453,338915.0,255295.5,413567.0,158271.5,46933.0,620680.0,55670.64,524908.17,73292.25,447919.0,55670.64,524908.17,73292.25,447919.0,Bradyrhizobium diazoefficiens,123,0,,,,,,,,,,,,,,,,
number,non-normal,200.22764227642276,51.767587719958314,200.0,171.0,228.0,57.0,77.0,376.0,77.0,360.14,77.05,316.8,77.0,360.14,77.05,316.8,Bradyrhizobium diazoefficiens,123,0,,,,,,,,,,,,,,,,
longest,non-normal,912181.0406504065,263464.4919698849,944799.0,831286.0,965536.5,134250.5,178951.0,1762888.0,185639.04,1743347.87,229358.45,1457830.2500000005,185639.04,1743347.87,229358.45,1457830.25,Bradyrhizobium diazoefficiens,123,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,64.04630894308944,0.07227049686261448,64.0733,63.9856,64.09335,0.1077500000000029,63.8501,64.1666,63.8684,64.160134,63.888425,64.14979,63.3646,64.1601,63.8884,64.1498,Bradyrhizobium diazoefficiens,123,116,non-normal,63.94057500000001,0.08743656703182198,63.9557,63.89645,63.98845,0.09199999999999875,63.3646,64.1446,63.571197500000004,64.119415,63.7792,64.06451249999999,0.5794785534062237,4.0889402419416457e-19,0.10573394308943078
Completeness_Specific,non-normal,99.99983739837398,0.0012647438362692687,100.0,100.0,100.0,0.0,99.99,100.0,99.99,100.0,100.0,100.0,97.54,100.0,100.0,100.0,Bradyrhizobium diazoefficiens,123,116,non-normal,99.44370689655172,0.4871690391548473,99.575,99.15,99.8,0.6499999999999915,97.54,99.99,97.5745,99.99,98.44,99.99,0.983739837398374,3.415851366305037e-67,0.5561305018222611
Contamination,non-normal,0.2779674796747968,0.10338152049484868,0.29,0.23,0.31,0.07999999999999999,0.08,0.94,0.08,0.7204000000000002,0.11,0.47,0.04,1.34,0.11,0.47,Bradyrhizobium diazoefficiens,123,115,non-normal,0.677913043478261,0.19296990372312245,0.59,0.59,0.74,0.15000000000000002,0.04,1.34,0.1882,1.2544999999999988,0.3,1.19,0.9310003534817957,2.2562743421260996e-56,0.4006412159773771
Total_Coding_Sequences,non-normal,8326.333333333334,458.0814651634437,8391.0,8341.0,8491.0,150.0,6634.0,8858.0,6634.0,8833.6,6665.05,8780.95,6634.0,9305.0,6665.05,8780.95,Bradyrhizobium diazoefficiens,123,116,non-normal,8713.422413793103,227.45686028503363,8712.0,8601.5,8839.5,238.0,7275.0,9305.0,7475.675,9215.3,8459.375,9041.25,0.7755817213344547,3.950886840026429e-36,387.08908045977023
Genome_Size,non-normal,8834140.723577235,459939.0098196442,8894217.0,8856192.5,9020927.0,164734.5,7132481.0,9428812.0,7134258.54,9371680.01,7148656.35,9285944.55,7134258.54,9796986.0,7148656.35,9285944.55,Bradyrhizobium diazoefficiens,123,116,non-normal,9217600.637931034,231999.40600590565,9191462.0,9137814.25,9320161.0,182346.75,7668734.0,9796986.0,7908141.575,9704649.625,8984585.75,9576809.875,0.825834034202411,6.484087927444421e-42,383459.9143537987
