metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,159645.25308641975,63743.30469012933,158815.0,109024.0,207468.0,98444.0,31450.0,264318.0,32482.01,263288.40499999997,39869.25,262526.525,32482.01,263288.4,39869.25,262526.53,Legionella longbeachae,162,0,,,,,,,,,,,,,,,,
number,non-normal,108.29629629629629,47.46901379040011,96.0,73.0,130.5,57.5,45.0,263.0,46.61,252.5349999999999,48.0,239.92499999999998,46.61,252.53,48.0,239.92,Legionella longbeachae,162,0,,,,,,,,,,,,,,,,
longest,normal,336711.4259259259,108955.102285968,326040.5,257016.5,406105.75,149089.25,114862.0,655737.0,118555.34,655737.0,151370.30000000002,564988.0,118555.34,655737.0,151370.3,564988.0,Legionella longbeachae,162,0,,,,,,,,,,,,,,,,
GC_Content,normal,37.100614197530874,0.03102312332996413,37.09925,37.08,37.1181,0.03810000000000002,37.0437,37.1855,37.0437,37.185339,37.049,37.16566,37.0437,37.202,37.049,37.1657,Legionella longbeachae,162,7,insufficient_data,37.13404285714286,0.04817758391447875,37.1441,37.1002,37.1639,0.0636999999999972,37.064,37.202,37.064117,37.201313,37.064585,37.198564999999995,0.5291005291005291,0.02891077662369305,0.03571384479717746
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,95.49,100.0,100.0,100.0,Legionella longbeachae,162,7,insufficient_data,96.47285714285715,1.0177666626451474,96.23,95.49,97.195,1.7049999999999983,95.49,98.22,95.49,98.1987,95.49,98.1135,1.0,2.9035184491669658e-12,3.527142857142859
Contamination,non-normal,0.36969135802469133,0.23215954188505633,0.31,0.21,0.39,0.18000000000000002,0.12,1.28,0.12,1.28,0.13,0.9594999999999998,0.12,7.69,0.13,0.96,Legionella longbeachae,162,7,insufficient_data,3.0142857142857147,2.3301248105312,1.51,1.23,4.220000000000001,2.9900000000000007,1.0,7.69,1.0006,7.6003,1.0030000000000001,7.241499999999999,0.9753086419753086,9.581610882250991e-10,2.6445943562610235
Total_Coding_Sequences,normal,3630.641975308642,77.17253535670645,3639.0,3563.5,3687.0,123.5,3437.0,3806.0,3437.0,3805.195,3483.65,3781.375,3437.0,3830.0,3483.65,3781.38,Legionella longbeachae,162,7,insufficient_data,3687.714285714286,77.51813481044158,3659.0,3642.0,3732.0,90.0,3577.0,3830.0,3578.53,3827.39,3584.65,3816.95,0.3236331569664903,0.39970030481389335,57.07231040564374
Genome_Size,non-normal,4138144.8703703703,71173.91485928519,4140033.0,4082599.5,4199049.0,116449.5,3977100.0,4311034.0,3977100.0,4275913.46,4002443.625,4255147.0,3977100.0,4349858.0,4002443.62,4255147.0,Legionella longbeachae,162,7,insufficient_data,4197196.285714285,80947.70157279556,4165456.0,4155945.0,4237961.5,82016.5,4077247.0,4349858.0,4079404.33,4346896.7,4088033.65,4335051.5,0.42504409171075835,0.12921351843686613,59051.41534391535
