metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,515181.28712871287,31865.032732857377,528896.0,528788.0,528897.0,109.0,412586.0,657494.0,412645.0,548654.0,412645.0,548187.5499999999,412645.0,548654.0,412645.0,548187.55,Vibrio mediterranei,202,0,,,,,,,,,,,,,,,,
number,non-normal,61.16831683168317,15.313276002195602,57.0,54.25,61.0,6.75,46.0,161.0,49.005,131.995,51.0,125.5749999999999,49.0,132.0,51.0,125.57,Vibrio mediterranei,202,0,,,,,,,,,,,,,,,,
longest,non-normal,977015.4950495049,31603.917823656466,974610.0,974605.25,986842.0,12236.75,821380.0,1339215.0,893491.085,994367.0,895225.425,994186.1,893491.08,994367.0,895225.42,994186.1,Vibrio mediterranei,202,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,44.00061534653465,0.0018671236227121057,44.0008,43.9998,44.0016,0.0018000000000029104,43.9929,44.0064,43.993700999999994,44.005398,43.994812499999995,44.0037,43.9937,44.1559,43.9948,44.0037,Vibrio mediterranei,202,2,insufficient_data,44.096500000000006,0.05940000000000012,44.096500000000006,44.0668,44.126200000000004,0.05940000000000367,44.0371,44.1559,44.037694,44.155306,44.04007,44.152930000000005,1.0,9.659036028204386e-05,0.09588465346534902
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,99.53,100.0,100.0,100.0,Vibrio mediterranei,202,2,insufficient_data,99.545,0.015000000000000568,99.545,99.5375,99.55250000000001,0.01500000000001478,99.53,99.56,99.53015,99.55985,99.53075,99.55925,1.0,9.659036028204386e-05,0.4549999999999983
Contamination,non-normal,0.7213861386138614,0.013825625724496365,0.72,0.72,0.72,0.0,0.64,0.85,0.71,0.8097000000000003,0.71,0.73,0.71,2.38,0.71,0.73,Vibrio mediterranei,202,2,insufficient_data,2.3049999999999997,0.07499999999999996,2.3049999999999997,2.2675,2.3425,0.07499999999999973,2.23,2.38,2.23075,2.37925,2.23375,2.3762499999999998,1.0,9.659036028204386e-05,1.5836138613861384
Total_Coding_Sequences,non-normal,5260.064356435643,12.079801356953212,5260.0,5258.0,5263.0,5.0,5211.0,5313.0,5212.005,5305.925,5217.05,5288.975,5212.0,5576.0,5217.05,5288.98,Vibrio mediterranei,202,2,insufficient_data,5471.5,104.5,5471.5,5419.25,5523.75,104.5,5367.0,5576.0,5368.045,5574.955,5372.225,5570.775,1.0,9.659036028204386e-05,211.43564356435644
Genome_Size,non-normal,5744751.376237623,8497.024945694357,5745338.0,5744621.75,5746842.25,2220.5,5706377.0,5779313.0,5708284.16,5766395.32,5710541.525,5759331.275,5708284.16,5976027.0,5710541.52,5759331.28,Vibrio mediterranei,202,2,insufficient_data,5894101.5,81925.5,5894101.5,5853138.75,5935064.25,81925.5,5812176.0,5976027.0,5812995.255,5975207.745,5816272.275,5971930.725,1.0,9.659036028204386e-05,149350.12376237626
