metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,266016.0521400778,119038.10375188591,241162.0,178718.0,338547.0,159829.0,52459.0,829754.0,65487.0,667407.0399999975,94393.8,508630.1999999996,65487.0,667407.04,94393.8,508630.2,Vibrio vulnificus,1285,0,,,,,,,,,,,,,,,,
number,non-normal,148.9455252918288,45.24090455503218,140.0,116.0,174.0,58.0,58.0,343.0,69.84,295.6399999999994,82.0,258.0,69.84,295.64,82.0,258.0,Vibrio vulnificus,1285,0,,,,,,,,,,,,,,,,
longest,non-normal,698070.9743190662,324110.1823237648,614177.0,469237.0,871587.0,402350.0,160617.0,1801818.0,212168.06,1759950.08,271288.6,1601894.6999999983,212168.06,1759950.08,271288.6,1601894.7,Vibrio vulnificus,1285,0,,,,,,,,,,,,,,,,
GC_Content,normal,46.671103035019456,0.11369574847091085,46.6694,46.594,46.7534,0.159399999999998,46.3039,46.9614,46.366602,46.94108,46.435880000000004,46.8801,45.3513,46.9411,46.4359,46.8801,Vibrio vulnificus,1285,31,non-normal,46.63826129032258,0.3539988661157518,46.7273,46.669650000000004,46.80455,0.1348999999999947,45.3513,46.9314,45.356595,46.92447,45.377775,46.89675,0.2742312037153257,0.01670884359077169,0.12084893435421121
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,97.12,100.0,100.0,100.0,Vibrio vulnificus,1285,31,normal,98.56161290322581,0.7960308665363847,98.52,97.99000000000001,99.28,1.289999999999992,97.12,99.63,97.1215,99.63,97.1275,99.63,1.0,4.718171781020291e-63,1.438387096774194
Contamination,non-normal,0.0889727626459144,0.08640437032600802,0.07,0.04,0.11,0.07,0.0,0.78,0.0,0.6,0.0,0.31,0.0,5.02,0.0,0.31,Vibrio vulnificus,1285,31,non-normal,1.5516129032258064,1.0101200719882297,1.35,0.9550000000000001,1.7,0.7449999999999999,0.42,5.02,0.4335,4.9855,0.4875,4.8475,0.9867704280155642,2.0025909674980807e-50,1.4626401405798921
Total_Coding_Sequences,non-normal,4442.309727626459,131.42991127793184,4419.0,4352.0,4507.0,155.0,4154.0,4986.0,4223.26,4918.019999999999,4253.2,4781.0,4223.26,5770.0,4253.2,4781.0,Vibrio vulnificus,1285,31,non-normal,4663.1612903225805,312.74354089657646,4559.0,4513.0,4692.5,179.5,4402.0,5770.0,4402.3,5765.8,4403.5,5749.0,0.548085854148362,4.7766037129275465e-09,220.85156269612156
Genome_Size,non-normal,4981776.195330739,118435.32136822744,4959831.0,4904812.0,5042922.0,138110.0,4636345.0,5459423.0,4754751.0,5385200.88,4798484.6,5278175.3,4754751.0,6067960.0,4798484.6,5278175.3,Vibrio vulnificus,1285,31,non-normal,5177379.451612903,253687.61697497417,5113765.0,5025622.0,5227827.0,202205.0,4954048.0,6067960.0,4957163.05,6060617.35,4969623.25,6031246.75,0.5308899209238107,1.784996429513925e-08,195603.25628216396
