metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count
N50,non-normal,240806.5181818182,105773.21525627209,226862.0,176572.25,275665.5,99093.25,96908.0,556109.0,97518.945,526586.8949999999,102026.325,498027.89999999997,97518.94,526586.89,102026.32,498027.9,Neisseria bergeri,110,0
number,non-normal,44.4,19.404404373515543,44.0,34.0,50.75,16.75,10.0,91.0,10.545,91.0,13.0,87.27499999999999,10.54,91.0,13.0,87.28,Neisseria bergeri,110,0
longest,non-normal,551782.5363636364,221358.78136782526,590482.0,365237.25,759858.0,394620.75,198134.0,1018560.0,212727.465,1009017.595,226762.6,967238.275,212727.46,1009017.6,226762.6,967238.28,Neisseria bergeri,110,0
GC_Content,non-normal,51.84023545454546,0.16715072816112284,51.7685,51.73995,51.853175,0.11322499999999991,51.5949,52.2164,51.610596,52.20114,51.6782725,52.178895000000004,51.61,52.2,51.68,52.18,Neisseria bergeri,110,0
Completeness_Specific,normal,99.98899999999998,0.006022684390926192,99.99,99.99,99.99,0.0,99.97,100.0,99.97545,100.0,99.98,100.0,99.98,100.0,99.98,100.0,Neisseria bergeri,110,0
Contamination,non-normal,0.026181818181818174,0.02119098514084868,0.02,0.01,0.03,0.019999999999999997,0.01,0.11,0.01,0.11,0.01,0.09274999999999992,0.01,0.11,0.01,0.09,Neisseria bergeri,110,0
Total_Coding_Sequences,normal,1986.581818181818,69.3692860799336,1983.5,1967.25,2031.75,64.5,1860.0,2194.0,1861.635,2169.475,1866.725,2133.125,1861.64,2169.48,1866.72,2133.12,Neisseria bergeri,110,0
Genome_Size,normal,2104207.272727273,54825.74872413494,2112509.0,2097505.5,2132003.25,34497.75,1998115.0,2250623.0,1998511.76,2241652.8449999997,2000714.4,2203227.35,1998511.76,2241652.84,2000714.4,2203227.35,Neisseria bergeri,110,0
