metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,466278.7413635533,382960.25361481524,316797.0,215736.5,580873.0,365136.5,31169.0,2741880.0,74696.3,1904740.0,109522.0,1434734.5,74696.3,1904740.0,109522.0,1434734.5,Mycobacterium abscessus,5471,0,,,,,,,,,,,,,,,,
number,non-normal,51.824529336501556,32.3552455877992,48.0,27.0,66.0,39.0,4.0,361.0,8.0,173.64999999999964,11.0,131.0,8.0,173.65,11.0,131.0,Mycobacterium abscessus,5471,0,,,,,,,,,,,,,,,,
longest,non-normal,908031.2834947907,519628.3251280845,732948.0,505831.0,1203280.0,697449.0,128531.0,2741880.0,216795.3,2467768.9499999997,277246.75,2173212.5,216795.3,2467768.95,277246.75,2173212.5,Mycobacterium abscessus,5471,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,64.1475627307622,0.0763863983184971,64.1423,64.10865,64.1976,0.08894999999999698,63.7561,64.4173,63.91284,64.30446500000001,63.987375,64.2896,63.9128,64.3238,63.9874,64.2896,Mycobacterium abscessus,5471,102,non-normal,64.1522862745098,0.07113445572999912,64.1481,64.1143,64.20907500000001,0.09477500000001271,63.9369,64.3238,63.9403845,64.2994085,63.961304999999996,64.2590275,0.1248346898620534,0.08073875140007414,0.011903241691484502
Completeness_Specific,non-normal,99.99972034363005,0.0016487437685266003,100.0,100.0,100.0,0.0,99.99,100.0,99.99,100.0,99.99,100.0,96.05,100.0,99.99,100.0,Mycobacterium abscessus,5471,102,non-normal,98.5230392156863,0.6707791624198228,98.66,98.35499999999999,99.0175,0.6625000000000085,96.05,99.27,96.20655,99.2397,96.66575,99.21,1.0,3.861365414031768e-220,1.4766811279437753
Contamination,non-normal,0.25136355328093585,0.13514388298582183,0.22,0.17,0.31,0.13999999999999999,0.02,1.98,0.07,0.8929999999999927,0.1,0.5725,0.07,2.47,0.1,0.57,Mycobacterium abscessus,5471,102,non-normal,1.10078431372549,0.3871684192337748,0.95,0.93,1.1749999999999998,0.24499999999999977,0.63,2.47,0.63,2.47,0.63,2.3354999999999992,0.9835496252970206,9.59631161144055e-164,0.8494207604445543
Total_Coding_Sequences,non-normal,5049.89946993237,207.43320951985854,5025.0,4901.0,5183.0,282.0,4514.0,5956.0,4644.35,5715.65,4697.0,5513.0,4635.0,5715.65,4697.0,5513.0,Mycobacterium abscessus,5471,102,normal,5063.137254901961,209.38912266520356,5046.0,4893.0,5184.75,291.75,4635.0,5522.0,4664.795,5509.375,4735.05,5492.9,0.11022826238885246,0.16256366568229944,23.586651183961067
Genome_Size,non-normal,5093158.692560775,164603.24145904562,5099508.0,4980947.5,5193170.0,212222.5,4638877.0,5775412.0,4758499.0,5588117.599999991,4792198.25,5452679.5,4687873.0,5588117.6,4792198.25,5452679.5,Mycobacterium abscessus,5471,102,normal,5083144.31372549,169395.084001925,5090491.0,4936884.75,5184067.5,247182.75,4687873.0,5486769.0,4735136.455,5467031.58,4800171.125,5442606.775,0.0994548797402346,0.25738415662852954,18593.68948573764
