metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count
N50,non-normal,278961.46315789473,220346.67583236867,205868.0,125671.0,341778.0,216107.0,21817.0,875289.0,26482.690000000002,869079.83,40991.8,828782.1999999995,26482.69,869079.83,40991.8,828782.2,Clostridium cagae,95,0
number,non-normal,86.6842105263158,48.90318322604254,74.0,54.0,102.0,48.0,30.0,354.0,30.94,299.0100000000001,33.0,195.7999999999999,30.94,299.01,33.0,195.8,Clostridium cagae,95,0
longest,non-normal,690071.6421052632,386638.07472823485,621230.0,334248.0,940768.0,606520.0,70450.0,1699017.0,98089.29000000001,1570393.9800000002,163286.75,1422014.45,98089.29,1570393.98,163286.75,1422014.45,Clostridium cagae,95,0
GC_Content,normal,27.20032421052631,0.05278512293557813,27.193,27.1535,27.2409,0.08739999999999881,27.1081,27.3404,27.114492000000002,27.336828,27.12774,27.314695,27.11,27.34,27.13,27.31,Clostridium cagae,95,0
Completeness_Specific,non-normal,99.99136842105261,0.008779225036629864,99.99,99.99,100.0,0.010000000000005116,99.96,100.0,99.96,100.0,99.96,100.0,99.96,100.0,99.96,100.0,Clostridium cagae,95,0
Contamination,normal,0.22073684210526312,0.09429229030562539,0.21,0.15,0.29,0.13999999999999999,0.0,0.54,0.0047,0.48360000000000014,0.0505,0.3859999999999997,0.0,0.48,0.05,0.39,Clostridium cagae,95,0
Total_Coding_Sequences,non-normal,3624.6526315789474,151.43369356159275,3567.0,3513.5,3755.5,242.0,3305.0,3939.0,3307.35,3924.43,3324.65,3878.5499999999997,3307.35,3924.43,3324.65,3878.55,Clostridium cagae,95,0
Genome_Size,non-normal,3878075.5263157897,97194.15232094032,3845163.0,3807016.5,3965514.5,158498.0,3681070.0,4059015.0,3688085.69,4048570.19,3706251.95,4035360.7,3688085.69,4048570.19,3706251.95,4035360.7,Clostridium cagae,95,0
