metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,insufficient_data,154942.5,2107.5,154942.5,152835.0,157050.0,4215.0,152835.0,157050.0,152835.0,157050.0,152835.0,157050.0,152835.0,157050.0,152835.0,157050.0,Klebsiella quasivariicola,4,0,,,,,,,,,,,,,,,,
number,insufficient_data,112.5,5.545268253204709,113.0,107.5,118.0,10.5,106.0,118.0,106.03,118.0,106.15,118.0,106.0,118.0,106.15,118.0,Klebsiella quasivariicola,4,0,,,,,,,,,,,,,,,,
longest,insufficient_data,464135.0,50697.0,464135.0,413438.0,514832.0,101394.0,413438.0,514832.0,413438.0,514832.0,413438.0,514832.0,413438.0,514832.0,413438.0,514832.0,Klebsiella quasivariicola,4,0,,,,,,,,,,,,,,,,
GC_Content,insufficient_data,56.68815248164246,0.00390615472829466,56.68820787112117,56.68430250189757,56.692057850866064,0.007755348968494502,56.68413633346143,56.692057850866064,56.684139656830155,56.692057850866064,56.68415295030505,56.692057850866064,56.6841,56.6921,56.6842,56.6921,Klebsiella quasivariicola,4,4,insufficient_data,56.6679,0.00969999999999871,56.6679,56.6582,56.6776,0.01939999999999742,56.6582,56.6776,56.6582,56.6776,56.6582,56.6776,1.0,0.028571428571428577,0.020252481642460296
Completeness_Specific,insufficient_data,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,Klebsiella quasivariicola,4,4,insufficient_data,98.295,0.375,98.295,97.92,98.67,0.75,97.92,98.67,97.92,98.67,97.92,98.67,1.0,0.028571428571428577,1.7049999999999983
Contamination,insufficient_data,0.35,0.04000000000000001,0.35,0.31,0.39,0.08000000000000002,0.31,0.39,0.31,0.39,0.31,0.39,0.31,0.39,0.31,0.39,Klebsiella quasivariicola,4,4,insufficient_data,1.185,0.21499999999999997,1.185,0.97,1.4,0.42999999999999994,0.97,1.4,0.97,1.4,0.97,1.4,1.0,0.028571428571428577,0.835
Total_Coding_Sequences,insufficient_data,5501.5,57.504347661720324,5501.0,5444.0,5558.5,114.5,5444.0,5560.0,5444.0,5559.97,5444.0,5559.85,5444.0,5560.0,5444.0,5559.85,Klebsiella quasivariicola,4,4,insufficient_data,5878.25,124.96874609277313,5844.5,5766.0,5956.75,190.75,5760.0,6064.0,5760.12,6061.855,5760.6,6053.275,1.0,0.028571428571428577,376.75
Genome_Size,insufficient_data,5773113.0,21773.14147062844,5773057.5,5751340.0,5794830.5,43490.5,5751340.0,5794997.0,5751340.0,5794993.67,5751340.0,5794980.35,5751340.0,5794997.0,5751340.0,5794980.35,Klebsiella quasivariicola,4,4,insufficient_data,5911776.0,34930.0,5911776.0,5876846.0,5946706.0,69860.0,5876846.0,5946706.0,5876846.0,5946706.0,5876846.0,5946706.0,1.0,0.028571428571428577,138663.0
