metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,385201.86440677964,66063.7756592408,382705.0,337866.75,443340.0,105473.25,177037.0,468256.0,209985.955,468256.0,233663.6,468256.0,209985.96,468256.0,233663.6,468256.0,Pediococcus pentosaceus,118,0,,,,,,,,,,,,,,,,
number,non-normal,18.279661016949152,6.843140315426531,16.0,14.0,21.0,7.0,11.0,55.0,11.0,47.980000000000075,12.0,35.150000000000006,11.0,47.98,12.0,35.15,Pediococcus pentosaceus,118,0,,,,,,,,,,,,,,,,
longest,non-normal,481894.3728813559,49824.638771479484,492739.0,444165.0,534677.0,90512.0,342064.0,542020.0,349537.96,540731.245,370002.1,539817.0,349537.96,540731.24,370002.1,539817.0,Pediococcus pentosaceus,118,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,37.218831355932195,0.07272403339855872,37.221,37.2148,37.285175,0.07037500000000563,37.0002,37.3232,37.0040025,37.3171745,37.0301025,37.301065,37.004,37.5254,37.0301,37.3011,Pediococcus pentosaceus,118,55,normal,37.32570181818183,0.09009716470346499,37.3528,37.26695,37.397999999999996,0.13104999999999478,37.1394,37.5254,37.140075,37.509361999999996,37.14365,37.45788,0.610939907550077,1.135844724347303e-13,0.10687046224961498
Completeness_Specific,non-normal,99.99991525423728,0.0009166655785082631,100.0,100.0,100.0,0.0,99.99,100.0,99.99585,100.0,100.0,100.0,84.97,100.0,100.0,100.0,Pediococcus pentosaceus,118,55,normal,91.0776363636364,3.3026325387409385,90.68,88.85,93.08,4.230000000000004,84.97,98.76,85.1239,98.3874,85.58550000000001,97.31,1.0,3.2212445094247324e-46,8.922278890600925
Contamination,non-normal,0.14203389830508473,0.06241685075109584,0.12,0.11,0.13,0.020000000000000004,0.09,0.56,0.09,0.42545000000000144,0.1,0.29225000000000007,0.09,8.79,0.1,0.29,Pediococcus pentosaceus,118,55,normal,4.126545454545454,2.0435959556018077,3.66,2.495,5.855,3.3600000000000003,0.59,8.79,0.7709,8.633399999999998,1.351,8.2065,1.0,3.2212445094247324e-46,3.9845115562403697
Total_Coding_Sequences,non-normal,1810.7203389830509,64.56830381473722,1779.5,1774.0,1885.5,111.5,1670.0,2000.0,1671.17,1998.2450000000001,1700.475,1955.2,1671.17,2111.0,1700.48,1955.2,Pediococcus pentosaceus,118,55,normal,1853.2181818181818,95.34562790359388,1848.0,1788.5,1906.0,117.5,1698.0,2111.0,1701.78,2099.66,1714.1,2054.2999999999997,0.3326656394453005,0.0003321711918882468,46.09969183359015
Genome_Size,normal,1840435.5254237289,46203.93462512229,1824600.5,1823697.0,1890114.5,66417.5,1707044.0,1960760.0,1708652.75,1953491.375,1729260.075,1936396.6,1688270.0,2059009.0,1729260.08,1936396.6,Pediococcus pentosaceus,118,55,normal,1830819.6,82136.2701421131,1817437.0,1775513.5,1877404.5,101891.0,1688270.0,2059009.0,1691158.46,2042848.9599999997,1699095.05,1986940.5999999999,0.3480739599383667,0.00014801660035210432,34564.73990755009
