metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,136124.22790428993,59320.42200232509,131149.0,92101.0,166455.5,74354.5,12404.0,441842.0,25982.7,285528.74999999994,37837.25,265867.0,25982.7,285528.75,37837.25,265867.0,Campylobacter coli,32891,0,,,,,,,,,,,,,,,,
number,non-normal,57.245416679334774,33.93209537693981,46.0,32.0,76.5,44.5,8.0,290.0,14.0,171.0,18.0,139.0,14.0,171.0,18.0,139.0,Campylobacter coli,32891,0,,,,,,,,,,,,,,,,
longest,non-normal,284058.0959533003,103968.17503375892,272650.0,205710.5,355094.0,149383.5,38550.0,852216.0,76704.8,600036.6,102617.5,507670.75,76704.8,600036.6,102617.5,507670.75,Campylobacter coli,32891,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,31.257794402724148,0.1277878506019683,31.2933,31.1775,31.3542,0.1767000000000003,30.7763,31.9147,30.907645,31.47281,30.9683,31.424075,30.6691,31.5028,30.9683,31.4241,Campylobacter coli,32891,92,non-normal,31.28191521739131,0.17028033850528518,31.34645,31.157175,31.397875,0.24070000000000036,30.6691,31.5028,30.7418545,31.4993875,30.8896225,31.4850875,0.2727530195256268,1.5418870933659473e-06,0.04751660511068851
Completeness_Specific,non-normal,99.98166975768447,0.011408507856090261,99.98,99.98,99.99,0.009999999999990905,99.88,100.0,99.93,100.0,99.95,100.0,94.78,100.0,99.95,100.0,Campylobacter coli,32891,92,non-normal,98.06771739130434,0.6992886187449637,98.095,97.81,98.4825,0.6724999999999994,94.78,99.18,95.3078,99.14815,96.53425,99.09349999999999,1.0,0.0,1.9139523663801241
Contamination,non-normal,0.03852573652366909,0.04474202637503556,0.03,0.02,0.05,0.030000000000000002,0.0,1.17,0.0,0.27,0.0,0.13,0.0,12.51,0.0,0.13,Campylobacter coli,32891,88,non-normal,0.4169318181818183,1.8095299226058084,0.05,0.05,0.15,0.09999999999999999,0.05,12.51,0.05,12.257699999999998,0.05,0.8372500000000004,0.7015596971815998,5.616902454935177e-44,0.3784060816581489
Total_Coding_Sequences,non-normal,1832.2748776260983,105.91595560451904,1813.0,1752.0,1898.0,146.0,1576.0,2210.0,1680.0,2106.0,1694.0,2061.0,1680.0,2301.0,1694.0,2061.0,Campylobacter coli,32891,92,non-normal,1880.891304347826,108.87811858676807,1859.5,1809.75,1930.5,120.75,1718.0,2301.0,1722.55,2248.675,1733.825,2140.725,0.29095642656310106,2.155737266179213e-07,48.61642672172778
Genome_Size,non-normal,1742286.7642516189,72184.21739879932,1728484.0,1686464.0,1787148.5,100684.5,1589295.0,1985682.0,1635329.25,1926082.5,1641634.25,1898182.25,1635329.25,2127266.0,1641634.25,1898182.25,Campylobacter coli,32891,92,non-normal,1786491.5326086956,90125.87482074977,1760043.5,1726296.5,1831363.75,105067.25,1661120.0,2127266.0,1664488.365,2084793.1150000002,1671586.2,2009393.275,0.24902345428179773,1.636531041233511e-05,44204.768357076675
