metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,MY_LOWER,MY_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,431442.10494345066,241092.77930718448,437549.5,294850.75,511555.5,216704.75,34736.0,1538180.0,66708.24500000001,1502497.28,66708.25,1502497.28,Listeria monocytogenes,59594,0,,,,,,,,,,,,,,
number,non-normal,34.78046447628956,17.781280151617505,29.0,23.0,41.0,18.0,9.0,220.0,14.0,111.0,14.0,111.0,Listeria monocytogenes,59594,0,,,,,,,,,,,,,,
longest,non-normal,786812.1719804007,334901.17494436033,729242.0,533216.0,1005387.0,472171.0,119498.0,1538974.0,191856.83000000002,1504764.4349999998,191856.83,1504764.43,Listeria monocytogenes,59594,0,,,,,,,,,,,,,,
GC_Content,non-normal,0.3786879554485352,0.000591162060903637,0.378705,0.37829599999999997,0.379094,0.0007980000000000209,0.376079,0.38365900000000003,0.377148,0.380849,0.3771,0.3829,Listeria monocytogenes,59594,459,non-normal,0.3798097472766884,0.0007349695897019835,0.379782,0.37939849999999997,0.380171,0.0007725000000000093,0.377447,0.382939,0.37784618999999997,0.38263790999999997,0.7001891813617827,3.8650772820751355e-224,0.0011218211935257176
Completeness_Specific,non-normal,99.99335889519078,0.0065441286038817326,99.99,99.99,100.0,0.010000000000005116,99.96,100.0,99.97,100.0,96.29,100.0,Listeria monocytogenes,59594,459,non-normal,98.90440087145969,0.39946235719283424,99.07,98.785,99.15,0.3650000000000091,96.29,99.27,96.71889999999999,99.27,1.0,0.0,1.0889580237310943
Contamination,non-normal,0.7373903413095277,0.13248272370039818,0.72,0.64,0.8,0.16000000000000003,0.2,1.83,0.49,1.11,0.17,4.14,Listeria monocytogenes,59594,459,non-normal,0.39599128540305006,0.2701578009179499,0.32,0.32,0.39,0.07,0.17,4.14,0.3,1.06,0.8949299848363907,0.0,0.3670808330267927
Total_Coding_Sequences,non-normal,2941.395291472296,95.37338699335895,2932.0,2865.0,3009.0,144.0,2661.0,3326.0,2772.0,3192.0,2772.0,3315.0,Listeria monocytogenes,59594,459,non-normal,3000.4814814814813,95.0140064504721,2993.0,2926.0,3055.5,129.5,2811.0,3315.0,2815.29,3294.0099999999993,0.2567254836887192,6.2442821478287635e-27,59.08655917386662
Genome_Size,non-normal,2973904.4062825115,72180.09954332557,2966962.0,2917151.75,3025875.75,108724.0,2705671.0,3280166.0,2840561.755,3157801.07,2815543.0,3243301.0,Listeria monocytogenes,59594,459,non-normal,2977541.7407407407,72444.4785141688,2965849.0,2919262.0,3024700.0,105438.0,2815543.0,3243301.0,2838910.79,3187416.21,0.09813671639970772,0.00028843176917086184,7624.634377369655
