metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,836726.7033333334,465014.80336203135,1185429.5,260009.25,1218244.0,958234.75,81297.0,1266029.0,101152.05500000001,1261914.445,142022.55,1256674.225,101152.06,1261914.44,142022.55,1256674.23,Staphylococcus chromogenes,300,0,,,,,,,,,,,,,,,,
number,non-normal,33.123333333333335,12.636512792521343,29.0,25.0,37.0,12.0,15.0,123.0,15.495000000000001,89.0,20.0,62.52499999999998,15.5,89.0,20.0,62.52,Staphylococcus chromogenes,300,0,,,,,,,,,,,,,,,,
longest,non-normal,1001747.2833333333,286850.29780495213,1185429.5,742859.0,1218244.0,475385.0,195519.0,1266029.0,239516.73500000002,1261914.445,388378.0,1256674.225,239516.74,1261914.44,388378.0,1256674.23,Staphylococcus chromogenes,300,0,,,,,,,,,,,,,,,,
GC_Content,normal,36.657585999999995,0.0859841063065341,36.65565,36.61015,36.71365,0.10350000000000392,36.412,36.9087,36.435457,36.849056499999996,36.4852425,36.8213225,36.4355,36.8958,36.4852,36.8213,Staphylococcus chromogenes,300,12,normal,36.763675,0.08377945377597085,36.76985,36.69025,36.828599999999994,0.13834999999999553,36.6334,36.8958,36.635325,36.8946945,36.643025,36.8902725,0.4666666666666667,0.00832410104010932,0.1061749999999999
Completeness_Specific,non-normal,99.92413333333334,0.03542478730430885,99.93,99.9,99.95,0.04999999999999716,99.82,99.99,99.82,99.98505,99.84,99.98,97.32,99.99,99.84,99.98,Staphylococcus chromogenes,300,12,normal,98.17583333333333,0.3633514903720036,98.3,98.08500000000001,98.32,0.23499999999998522,97.32,98.86,97.34309999999999,98.83415,97.43549999999999,98.73075,1.0,1.3948637727625771e-21,1.7483000000000017
Contamination,non-normal,0.14666666666666667,0.1395142366291778,0.13,0.02,0.23,0.21000000000000002,0.0,0.72,0.0,0.5252499999999998,0.0,0.47,0.0,1.98,0.0,0.47,Staphylococcus chromogenes,300,12,normal,1.4175000000000002,0.35104902316723047,1.3,1.23,1.8,0.5700000000000001,0.72,1.98,0.7474999999999999,1.97285,0.8574999999999999,1.94425,0.9966666666666667,1.813322904591348e-20,1.2708333333333333
Total_Coding_Sequences,normal,2235.31,49.825166666387915,2235.0,2199.0,2273.25,74.25,2112.0,2396.0,2123.495,2361.01,2144.0,2323.05,2123.5,2472.0,2144.0,2323.05,Staphylococcus chromogenes,300,12,normal,2339.1666666666665,68.79781165770383,2355.5,2280.5,2372.5,92.0,2227.0,2472.0,2229.035,2469.25,2237.175,2458.25,0.6133333333333333,0.00011506066082860843,103.85666666666665
Genome_Size,normal,2306436.3833333333,36387.55282872229,2310136.5,2279987.5,2332408.0,52420.5,2214311.0,2403110.0,2222318.725,2400171.41,2224451.05,2376407.4,2222318.72,2478658.0,2224451.05,2376407.4,Staphylococcus chromogenes,300,12,normal,2357194.25,62007.57678585873,2373911.0,2299741.75,2391784.5,92042.75,2256804.0,2478658.0,2257203.19,2474033.38,2258799.95,2455534.9,0.6366666666666667,4.988786149785231e-05,51277.67333333334
