metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,231821.20326530613,123172.32592759373,207699.0,139907.0,305918.0,166011.0,12759.0,758752.0,23695.88,593322.1199999993,50688.2,511724.9999999997,23695.88,593322.12,50688.2,511725.0,Bacteroides uniformis,1225,0,,,,,,,,,,,,,,,,
number,non-normal,104.9526530612245,75.5467324156085,84.0,61.0,118.0,57.0,25.0,837.0,29.0,463.63999999999965,35.0,320.79999999999836,29.0,463.64,35.0,320.8,Bacteroides uniformis,1225,0,,,,,,,,,,,,,,,,
longest,non-normal,537939.6408163265,235997.62319930768,506379.0,369218.0,675276.0,306058.0,50345.0,1407045.0,87700.88,1295966.08,171002.6,1123637.7999999942,87700.88,1295966.08,171002.6,1123637.8,Bacteroides uniformis,1225,0,,,,,,,,,,,,,,,,
GC_Content,normal,46.369874775510205,0.1571210586194107,46.3692,46.2574,46.4829,0.2255000000000038,45.8599,46.8397,45.963035999999995,46.7816,46.06386,46.70436,45.963,46.7816,46.0639,46.7044,Bacteroides uniformis,1225,11,normal,46.4177090909091,0.13605937510410293,46.4096,46.3048,46.528549999999996,0.22374999999999545,46.204,46.6226,46.205625,46.620295,46.212125,46.611075,0.21699443413729128,0.6094617527539148,0.0573997031539889
Completeness_Specific,non-normal,99.97235918367348,0.17794766935227052,99.99,99.98,100.0,0.01999999999999602,94.55,100.0,99.6948,100.0,99.9,100.0,91.84,100.0,99.9,100.0,Bacteroides uniformis,1225,11,normal,94.99272727272727,2.3044900477470693,94.28,92.985,97.03,4.045000000000002,91.84,98.39,91.85000000000001,98.3725,91.89,98.30250000000001,0.9983673469387755,6.330784012620567e-25,4.979631910946194
Contamination,non-normal,0.724604081632653,0.7026957032826597,0.54,0.33,0.91,0.5800000000000001,0.05,7.83,0.07,4.964399999999985,0.12,2.23,0.07,8.92,0.12,2.23,Bacteroides uniformis,1225,11,normal,4.199090909090909,2.7563000712267574,4.14,2.005,5.805,3.8,0.5,8.92,0.5,8.873999999999999,0.5,8.69,0.7142115027829313,3.929646476100809e-06,3.474486827458256
Total_Coding_Sequences,non-normal,4110.958367346939,267.14597534732434,4095.0,3909.0,4288.0,379.0,3443.0,4975.0,3514.24,4809.079999999998,3636.0,4670.2,3454.0,4809.08,3636.0,4670.2,Bacteroides uniformis,1225,11,normal,4018.818181818182,404.12032820611915,3944.0,3712.0,4229.0,517.0,3454.0,4741.0,3460.55,4737.85,3486.75,4725.25,0.31821892393320966,0.1759689259385138,162.63710575139146
Genome_Size,non-normal,4818353.627755102,226263.35687819897,4821292.0,4649366.0,4979274.0,329908.0,4218629.0,5575773.0,4269551.16,5386805.479999999,4399092.6,5259289.0,4269551.16,5471617.0,4399092.6,5259289.0,Bacteroides uniformis,1225,11,normal,4823060.909090909,359250.6499348722,4751410.0,4550876.5,5029752.0,478875.5,4282863.0,5471617.0,4289600.65,5464988.399999999,4316551.25,5438474.0,0.20905380333951762,0.6540924515537352,122151.43807050092
