metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,213935.5317919075,80681.18071113381,225677.0,144372.5,290826.0,146453.5,48267.0,347940.0,59666.8,319144.82,82000.5,318542.15,59666.8,319144.82,82000.5,318542.15,Campylobacter fetus,519,0,,,,,,,,,,,,,,,,
number,non-normal,50.00963391136801,19.567528045613805,44.0,36.0,59.0,23.0,25.0,125.0,26.0,117.40999999999997,27.0,102.05000000000001,26.0,117.41,27.0,102.05,Campylobacter fetus,519,0,,,,,,,,,,,,,,,,
longest,non-normal,440829.9556840077,183557.06424567092,369125.0,262483.0,619251.0,356768.0,103036.0,743299.0,156291.18,727180.0499999999,174047.1,702897.4,156291.18,727180.05,174047.1,702897.4,Campylobacter fetus,519,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,33.18611040462428,0.06908321144597894,33.2255,33.13745,33.23715,0.09969999999999857,32.9609,33.3004,32.996834,33.279579,33.017695,33.263315,32.9968,33.4564,33.0177,33.2633,Campylobacter fetus,519,30,normal,33.23304666666666,0.09669387341272252,33.2842,33.136849999999995,33.305525,0.16867500000000746,33.0579,33.4564,33.0592195,33.438173500000005,33.0644975,33.3652675,0.5294797687861271,6.478207138238439e-08,0.04733078998073249
Completeness_Specific,non-normal,99.96547206165704,0.015120539750259355,99.97,99.96,99.98,0.020000000000010232,99.92,99.99,99.92,99.99,99.93,99.99,91.72,99.99,99.93,99.99,Campylobacter fetus,519,30,normal,94.963,1.7570394607596795,94.83,93.825,96.43,2.605000000000004,91.72,98.18,91.72145,98.14375000000001,91.72725,97.99875,1.0,7.726227024825268e-50,5.00247206165703
Contamination,non-normal,0.29853564547206163,0.41331613277007834,0.08,0.07,0.36,0.29,0.04,1.95,0.05,1.9,0.05,1.4620000000000004,0.05,7.03,0.05,1.46,Campylobacter fetus,519,30,normal,3.013333333333333,2.077560000470638,2.91,1.61,4.6525,3.0424999999999995,0.05,7.03,0.05,6.9691,0.05,6.725499999999999,0.7493256262042389,8.814296902599063e-17,2.715795761078998
Total_Coding_Sequences,non-normal,1851.4855491329479,105.79727261745408,1823.0,1762.0,1945.0,183.0,1722.0,2121.0,1729.59,2111.41,1735.95,2068.05,1729.59,2357.0,1735.95,2068.05,Campylobacter fetus,519,30,normal,2005.8666666666666,183.9751311696472,1920.0,1853.75,2108.25,254.5,1793.0,2357.0,1793.435,2356.855,1795.175,2356.275,0.43352601156069365,2.3487989543199057e-05,154.38111753371862
Genome_Size,non-normal,1804966.1175337187,74223.8507332004,1768010.0,1747105.0,1874171.0,127066.0,1720307.0,1980564.0,1724635.58,1978578.3399999999,1726230.25,1954769.2,1724635.58,2188312.0,1726230.25,1954769.2,Campylobacter fetus,519,30,normal,1906978.0333333334,125198.11704427595,1863307.5,1782255.75,1999500.25,217244.5,1763253.0,2188312.0,1763779.495,2174773.785,1765885.475,2120620.925,0.4913294797687861,7.985837920676963e-07,102011.91579961465
