metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,338141.79833333334,176118.24288810723,299754.5,193101.0,435102.75,242001.75,55261.0,949179.0,93108.73,934424.98,110068.0,725870.0249999999,93108.73,934424.98,110068.0,725870.02,Klebsiella grimontii,600,0,,,,,,,,,,,,,,,,
number,non-normal,118.32166666666667,56.249309897001304,108.0,71.75,153.25,81.5,32.0,317.0,39.0,312.015,45.975,249.02499999999998,39.0,312.02,45.98,249.02,Klebsiella grimontii,600,0,,,,,,,,,,,,,,,,
longest,non-normal,903803.8583333333,489945.31570835697,758734.0,538969.25,1136182.0,597212.75,206938.0,2817754.0,289854.505,2395092.319999999,322918.225,2301708.9499999997,289854.5,2395092.32,322918.22,2301708.95,Klebsiella grimontii,600,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,55.609732666666666,0.2801531810746084,55.6639,55.41615,55.818225,0.4020749999999964,54.7423,56.1881,54.7720815,56.129667000000005,55.040805,56.050104999999995,54.7721,56.1297,55.0408,56.0501,Klebsiella grimontii,600,35,normal,55.68121714285715,0.3149607490155047,55.769,55.44305,55.976600000000005,0.5335500000000053,55.0871,56.0573,55.087338,56.053509,55.08829,56.038345,0.22404761904761905,0.061081664386495566,0.0958942380952377
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,97.99,100.0,100.0,100.0,Klebsiella grimontii,600,35,non-normal,99.40371428571427,0.44191845216888925,99.58,99.455,99.64,0.18500000000000227,97.99,99.64,98.00189999999999,99.64,98.0495,99.64,1.0,4.292361270331485e-58,0.5962857142857153
Contamination,non-normal,0.4298666666666666,0.3190428114776378,0.32,0.21,0.53,0.32000000000000006,0.05,1.92,0.06,1.58005,0.1,1.35025,0.06,1.77,0.1,1.35,Klebsiella grimontii,600,35,normal,0.9951428571428571,0.27921698094668174,1.05,0.8,1.1349999999999998,0.33499999999999974,0.41,1.77,0.4219,1.7172999999999994,0.4695,1.5064999999999995,0.7592857142857142,4.441451248698081e-20,0.5662095238095238
Total_Coding_Sequences,non-normal,5698.88,300.1263716059176,5727.5,5443.75,5899.25,455.5,5101.0,6542.0,5138.925,6443.1,5200.975,6337.15,5138.92,6621.0,5200.98,6337.15,Klebsiella grimontii,600,35,normal,5788.057142857143,415.3461167926021,5809.0,5438.5,6042.0,603.5,5263.0,6621.0,5263.17,6616.41,5263.85,6598.05,0.17595238095238094,0.22836002547973752,125.83190476190477
Genome_Size,non-normal,6077097.208333333,237471.98316215802,6089087.5,5893400.5,6225989.0,332588.5,5562661.0,6707109.0,5615495.905,6667353.895,5669505.425,6579215.824999999,5592035.0,6778239.0,5669505.42,6579215.82,Klebsiella grimontii,600,35,normal,6048319.171428571,350023.06386404106,6043975.0,5769195.0,6266827.0,497632.0,5592035.0,6778239.0,5592035.34,6767861.86,5592036.7,6726353.3,0.20523809523809525,0.10631095305242935,106291.6511904762
