metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,141262.92682926828,62346.82725545895,133521.0,95272.0,177254.0,81982.0,20508.0,312389.0,22351.22,311976.76,34884.9,286216.8,22351.22,311976.76,34884.9,286216.8,Erysipelothrix rhusiopathiae,533,0,,,,,,,,,,,,,,,,
number,non-normal,43.924953095684806,20.34390063176795,38.0,32.0,48.0,16.0,17.0,158.0,18.66,137.74000000000035,22.0,110.19999999999959,18.66,137.74,22.0,110.2,Erysipelothrix rhusiopathiae,533,0,,,,,,,,,,,,,,,,
longest,non-normal,275536.3752345216,93082.37594221954,278695.0,216629.0,317341.0,100712.0,63125.0,744964.0,72074.8,587570.6000000006,99899.9,477075.79999999946,72074.8,587570.6,99899.9,477075.8,Erysipelothrix rhusiopathiae,533,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,36.355257786116326,0.07525823436010949,36.3662,36.3038,36.4149,0.11110000000000042,36.1199,36.5265,36.153786,36.503678,36.19198,36.4861,36.1538,36.6356,36.192,36.4861,Erysipelothrix rhusiopathiae,533,23,normal,36.47953478260869,0.09996655792420575,36.4831,36.4137,36.5481,0.1343999999999994,36.2666,36.6356,36.274553,36.635413,36.306365,36.634665,0.6547026674280121,9.681441383826607e-10,0.12427699649237214
Completeness_Specific,non-normal,99.976191369606,0.016740401763991324,99.98,99.97,99.99,0.01999999999999602,99.86,100.0,99.89,100.0,99.933,99.99,89.71,100.0,99.93,99.99,Erysipelothrix rhusiopathiae,533,23,normal,95.01347826086956,2.1630727111854653,96.44,93.62,96.81,3.1899999999999977,89.71,96.99,89.9498,96.99,90.90899999999999,96.99,1.0,5.986111707571359e-41,4.962713108736438
Contamination,non-normal,1.2170356472795498,0.1619366628710259,1.2,1.11,1.35,0.24,0.85,1.77,0.8766,1.76,0.91,1.54,0.72,3.63,0.91,1.54,Erysipelothrix rhusiopathiae,533,22,non-normal,1.6422727272727267,0.7373597359262907,1.52,1.05,1.7349999999999999,0.6849999999999998,0.72,3.63,0.7546499999999999,3.5858999999999996,0.89325,3.409499999999999,0.506054920689067,1.578309690850784e-05,0.4694004775712092
Total_Coding_Sequences,non-normal,1694.9774859287054,37.439074455954035,1693.0,1669.0,1715.0,46.0,1606.0,1858.0,1618.32,1819.68,1632.0,1780.0,1618.32,1919.0,1632.0,1780.0,Erysipelothrix rhusiopathiae,533,23,normal,1792.0434782608695,61.6247256001437,1760.0,1750.5,1844.5,94.0,1708.0,1919.0,1708.66,1916.3600000000001,1711.3,1905.8,0.7266498083041031,2.7856842835384454e-12,97.06599233216413
Genome_Size,non-normal,1773800.7073170731,33068.52853956081,1768692.0,1750725.0,1794449.0,43724.0,1694786.0,1917547.0,1705705.24,1899476.1,1720679.6,1854202.3,1705705.24,1945689.0,1720679.6,1854202.3,Erysipelothrix rhusiopathiae,533,23,normal,1821078.8260869565,59126.51435152472,1786225.0,1779374.0,1864239.0,84865.0,1752910.0,1945689.0,1754835.11,1944131.18,1762535.55,1937899.9,0.4705930336895342,5.3858040749503596e-05,47278.118769883346
