metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count
N50,normal,234987.62790697673,91032.41540575385,252973.0,167005.25,301041.75,134036.5,66480.0,507075.0,71873.675,470853.95000000024,82348.125,411447.0,71873.68,470853.95,82348.12,411447.0,Staphylococcus coagulans,86,0
number,non-normal,44.093023255813954,18.219353310311835,40.5,32.0,51.0,19.0,19.0,126.0,19.425,116.22500000000007,24.25,94.375,19.42,116.23,24.25,94.38,Staphylococcus coagulans,86,0
longest,non-normal,702088.523255814,317783.90229162225,692125.5,444345.0,945664.0,501319.0,154502.0,1257637.0,162966.3,1242948.1500000001,185584.75,1219759.875,162966.3,1242948.15,185584.75,1219759.88,Staphylococcus coagulans,86,0
GC_Content,non-normal,35.79828023255814,0.05429103060908948,35.8149,35.77575,35.83935,0.06360000000000099,35.6902,35.8998,35.6905825,35.894529999999996,35.6924625,35.8671,35.69,35.89,35.69,35.87,Staphylococcus coagulans,86,0
Completeness_Specific,normal,99.98883720930232,0.007379828675637063,99.99,99.99,99.99,0.0,99.97,100.0,99.97,100.0,99.97,100.0,99.97,100.0,99.97,100.0,Staphylococcus coagulans,86,0
Contamination,non-normal,0.03220930232558138,0.038801856908055966,0.02,0.0,0.0475,0.0475,0.0,0.12,0.0,0.12,0.0,0.11,0.0,0.12,0.0,0.11,Staphylococcus coagulans,86,0
Total_Coding_Sequences,non-normal,2249.8837209302324,99.02717721926211,2283.0,2231.0,2305.5,74.5,2049.0,2426.0,2051.125,2417.0750000000003,2055.0,2398.875,2051.12,2417.08,2055.0,2398.88,Staphylococcus coagulans,86,0
Genome_Size,non-normal,2405142.011627907,98087.63128311552,2438537.5,2405706.0,2456356.25,50650.25,2198877.0,2538096.0,2200250.6,2536387.075,2203436.625,2533737.25,2200250.6,2536387.08,2203436.62,2533737.25,Staphylococcus coagulans,86,0
