species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Clostridium botulinum,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Clostridium cagae,enterobase-v2.3,Genome_Size,2000000,7000000,,,external,,2000000,7000000,,,,,,
Clostridium cagae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Clostridium cagae,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Clostridium difficile,enterobase-v2.3,Genome_Size,2000000,7000000,,,external,,2000000,7000000,,,,,,
Clostridium difficile,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Clostridium difficile,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Clostridium innocuum,enterobase-v2.3,Genome_Size,2000000,7000000,,,external,,2000000,7000000,,,,,,
Clostridium innocuum,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Clostridium innocuum,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Clostridium tetani,enterobase-v2.3,Genome_Size,2000000,7000000,,,external,,2000000,7000000,,,,,,
Clostridium tetani,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Clostridium tetani,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Escherichia albertii,enterobase-v2.3,Genome_Size,3700000,6400000,,,external,,3700000,6400000,,,,,,
Escherichia albertii,enterobase-v2.3,N50,13000,,,,external,,13000,,,,,,,
Escherichia albertii,enterobase-v2.3,no_of_contigs,,1000,,,external,,,1000,,,,,,
Escherichia coli,enterobase-v2.3,Genome_Size,3700000,6400000,,,external,,3700000,6400000,,,,,,
Escherichia coli,enterobase-v2.3,N50,13000,,,,external,,13000,,,,,,,
Escherichia coli,enterobase-v2.3,no_of_contigs,,1000,,,external,,,1000,,,,,,
Escherichia fergusonii,enterobase-v2.3,Genome_Size,3700000,6400000,,,external,,3700000,6400000,,,,,,
Escherichia fergusonii,enterobase-v2.3,N50,13000,,,,external,,13000,,,,,,,
Escherichia fergusonii,enterobase-v2.3,no_of_contigs,,1000,,,external,,,1000,,,,,,
Escherichia marmotae,enterobase-v2.3,Genome_Size,3700000,6400000,,,external,,3700000,6400000,,,,,,
Escherichia marmotae,enterobase-v2.3,N50,13000,,,,external,,13000,,,,,,,
Escherichia marmotae,enterobase-v2.3,no_of_contigs,,1000,,,external,,,1000,,,,,,
Escherichia ruysiae,enterobase-v2.3,Genome_Size,3700000,6400000,,,external,,3700000,6400000,,,,,,
Escherichia ruysiae,enterobase-v2.3,N50,13000,,,,external,,13000,,,,,,,
Escherichia ruysiae,enterobase-v2.3,no_of_contigs,,1000,,,external,,,1000,,,,,,
Helicobacter pylori,enterobase-v2.3,Genome_Size,1300000,3000000,,,external,,1300000,3000000,,,,,,
Helicobacter pylori,enterobase-v2.3,N50,10000,,,,external,,10000,,,,,,,
Helicobacter pylori,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Klebsiella aerogenes,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella aerogenes,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella aerogenes,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella africana,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella africana,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella africana,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella grimontii,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella grimontii,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella grimontii,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella huaxiensis,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella huaxiensis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella huaxiensis,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella michiganensis,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella michiganensis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella michiganensis,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Klebsiella ornithinolytica,enterobase-v2.3,Genome_Size,4300000,7300000,,,external,,4300000,7300000,,,,,,
Klebsiella ornithinolytica,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Klebsiella ornithinolytica,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
