species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Streptococcus parasanguinis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus parasanguinis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus pneumoniae,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus pneumoniae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus pneumoniae,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus pseudopneumoniae,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus pseudopneumoniae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus pseudopneumoniae,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus pyogenes,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus pyogenes,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus pyogenes,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus salivarius,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus salivarius,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus salivarius,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus suis,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus suis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus suis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Streptococcus uberis,enterobase-v2.3,Genome_Size,1500000,2600000,,,external,,1500000,2600000,,,,,,
Streptococcus uberis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Streptococcus uberis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Treponema pallidum,enterobase-v2.3,Genome_Size,900000,5000000,,,external,,900000,5000000,,,,,,
Treponema pallidum,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Treponema pallidum,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Vibrio alginolyticus,enterobase-v2.3,Genome_Size,3000000,5900000,,,external,,3000000,5900000,,,,,,
Vibrio alginolyticus,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Vibrio alginolyticus,enterobase-v2.3,no_of_contigs,,700,,,external,,,700,,,,,,
Vibrio anguillarum,enterobase-v2.3,Genome_Size,3000000,5900000,,,external,,3000000,5900000,,,,,,
Vibrio anguillarum,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Vibrio anguillarum,enterobase-v2.3,no_of_contigs,,700,,,external,,,700,,,,,,
Vibrio cholerae,enterobase-v2.3,Genome_Size,3000000,5900000,,,external,,3000000,5900000,,,,,,
Vibrio cholerae,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Vibrio cholerae,enterobase-v2.3,no_of_contigs,,700,,,external,,,700,,,,,,
Vibrio diabolicus,enterobase-v2.3,Genome_Size,3000000,5900000,,,external,,3000000,5900000,,,,,,
Vibrio diabolicus,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Vibrio diabolicus,enterobase-v2.3,no_of_contigs,,700,,,external,,,700,,,,,,
Vibrio fluvialis,enterobase-v2.3,Genome_Size,3000000,5900000,,,external,,3000000,5900000,,,,,,
Vibrio fluvialis,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Vibrio fluvialis,enterobase-v2.3,no_of_contigs,,700,,,external,,,700,,,,,,
Vibrio mediterranei,enterobase-v2.3,Genome_Size,3000000,5900000,,,external,,3000000,5900000,,,,,,
Vibrio mediterranei,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Vibrio mediterranei,enterobase-v2.3,no_of_contigs,,700,,,external,,,700,,,,,,
Vibrio metschnikovii,enterobase-v2.3,Genome_Size,3000000,5900000,,,external,,3000000,5900000,,,,,,
Vibrio metschnikovii,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Vibrio metschnikovii,enterobase-v2.3,no_of_contigs,,700,,,external,,,700,,,,,,
Vibrio parahaemolyticus,enterobase-v2.3,Genome_Size,3000000,5900000,,,external,,3000000,5900000,,,,,,
Vibrio parahaemolyticus,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Vibrio parahaemolyticus,enterobase-v2.3,no_of_contigs,,700,,,external,,,700,,,,,,
Vibrio vulnificus,enterobase-v2.3,Genome_Size,3000000,5900000,,,external,,3000000,5900000,,,,,,
Vibrio vulnificus,enterobase-v2.3,N50,20000,,,,external,,20000,,,,,,,
Vibrio vulnificus,enterobase-v2.3,no_of_contigs,,700,,,external,,,700,,,,,,
Xanthomonas arboricola,enterobase-v2.3,Genome_Size,2300000,6000000,,,external,,2300000,6000000,,,,,,
Xanthomonas arboricola,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Xanthomonas arboricola,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Xanthomonas campestris,enterobase-v2.3,Genome_Size,2300000,6000000,,,external,,2300000,6000000,,,,,,
Xanthomonas campestris,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Xanthomonas campestris,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Xanthomonas cissicola,enterobase-v2.3,Genome_Size,2300000,6000000,,,external,,2300000,6000000,,,,,,
Xanthomonas cissicola,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Xanthomonas cissicola,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Xanthomonas euvesicatoria,enterobase-v2.3,Genome_Size,2300000,6000000,,,external,,2300000,6000000,,,,,,
Xanthomonas euvesicatoria,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Xanthomonas euvesicatoria,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Xanthomonas hortorum,enterobase-v2.3,Genome_Size,2300000,6000000,,,external,,2300000,6000000,,,,,,
Xanthomonas hortorum,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Xanthomonas hortorum,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Xanthomonas oryzae,enterobase-v2.3,Genome_Size,2300000,6000000,,,external,,2300000,6000000,,,,,,
Xanthomonas oryzae,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Xanthomonas oryzae,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Xylella fastidiosa,enterobase-v2.3,Genome_Size,2300000,6000000,,,external,,2300000,6000000,,,,,,
Xylella fastidiosa,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Xylella fastidiosa,enterobase-v2.3,no_of_contigs,,800,,,external,,,800,,,,,,
Yersinia enterocolitica,enterobase-v2.3,Genome_Size,3700000,5500000,,,external,,3700000,5500000,,,,,,
Yersinia enterocolitica,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Yersinia enterocolitica,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Yersinia intermedia,enterobase-v2.3,Genome_Size,3700000,5500000,,,external,,3700000,5500000,,,,,,
Yersinia intermedia,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Yersinia intermedia,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Yersinia pestis,enterobase-v2.3,Genome_Size,3700000,5500000,,,external,,3700000,5500000,,,,,,
Yersinia pestis,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Yersinia pestis,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
Yersinia ruckeri,enterobase-v2.3,Genome_Size,3700000,5500000,,,external,,3700000,5500000,,,,,,
Yersinia ruckeri,enterobase-v2.3,N50,15000,,,,external,,15000,,,,,,,
Yersinia ruckeri,enterobase-v2.3,no_of_contigs,,600,,,external,,,600,,,,,,
