metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,536819.5471014492,262908.32781406323,488620.0,396574.25,681403.0,284828.75,65250.0,2510802.0,80914.75,2039393.25,135071.625,947638.625,80914.75,2039393.25,135071.62,947638.62,Citrobacter koseri,276,0,,,,,,,,,,,,,,,,
number,non-normal,51.38405797101449,25.381529991162697,44.0,37.0,55.25,18.25,23.0,185.0,23.0,172.75,26.0,131.5,23.0,172.75,26.0,131.5,Citrobacter koseri,276,0,,,,,,,,,,,,,,,,
longest,non-normal,1194269.6594202898,524125.0438629235,1136820.5,744093.0,1621242.75,877149.75,231334.0,2510802.0,265980.75,2447942.625,363699.125,2200804.5,265980.75,2447942.62,363699.12,2200804.5,Citrobacter koseri,276,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,53.759771014492756,0.09490889850226301,53.7742,53.7235,53.80685,0.08334999999999582,53.3484,53.9863,53.384625,53.970237499999996,53.515025,53.93495,53.2365,53.9702,53.515,53.935,Citrobacter koseri,276,36,non-normal,53.72547777777777,0.15892797130061226,53.772850000000005,53.7095,53.827025,0.11752500000000055,53.2365,53.9451,53.2536675,53.933234999999996,53.3223375,53.885774999999995,0.14251207729468598,0.49358212181811634,0.04530966183574826
Completeness_Specific,non-normal,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,98.05,100.0,100.0,100.0,Citrobacter koseri,276,36,non-normal,99.47611111111111,0.43291183204087597,99.595,99.39,99.8025,0.4124999999999943,98.05,99.86,98.13925,99.86,98.49625,99.86,1.0,9.868069139282594e-48,0.5238888888888897
Contamination,non-normal,0.06666666666666667,0.12411328003156327,0.03,0.0,0.05,0.05,0.0,0.57,0.0,0.56,0.0,0.54,0.0,1.47,0.0,0.54,Citrobacter koseri,276,36,non-normal,0.5402777777777777,0.3505272703855588,0.41,0.295,0.7275,0.43250000000000005,0.08,1.47,0.094,1.4612500000000002,0.15,1.42625,0.8707729468599034,3.778630803958542e-27,0.4736111111111111
Total_Coding_Sequences,normal,4454.322463768116,145.17610870545258,4471.0,4346.5,4560.0,213.5,4136.0,4943.0,4170.75,4799.875,4197.75,4755.5,4170.75,5119.0,4197.75,4755.5,Citrobacter koseri,276,36,normal,4625.0,190.1985804363429,4598.0,4500.75,4707.5,206.75,4321.0,5119.0,4321.175,5106.225,4321.875,5055.125,0.3743961352657005,0.0001682999466605693,170.67753623188406
Genome_Size,normal,4786309.789855072,117135.75333773765,4811125.0,4690942.5,4869054.5,178112.0,4496670.0,5148538.0,4538294.0,5082498.125,4576211.625,4995873.875,4538294.0,5270494.0,4576211.62,4995873.88,Citrobacter koseri,276,36,normal,4840409.583333333,154805.66607602919,4805644.5,4733270.5,4927024.5,193754.0,4581001.0,5270494.0,4581003.975,5245077.7,4581015.875,5143412.5,0.25,0.030898746362107533,56016.646135265706
