species,original_count,filtered_out_count,final_count
Bifidobacterium_adolescentis,2079,83,1996
Bifidobacterium_longum,1904,112,1792
Bifidobacterium_pseudocatenulatum,611,36,575
Bifidobacterium_animalis,398,32,366
Bifidobacterium_bifidum,246,9,237
Bifidobacterium_breve,217,24,193
Bifidobacterium_dentium,150,5,145
