metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,156849.625,52903.81273166306,151257.0,125587.5,184644.0,59056.5,69957.0,304550.0,70877.55,299166.82500000007,75092.75,280241.0,70877.55,299166.83,75092.75,280241.0,Limosilactobacillus mucosae,96,0,,,,,,,,,,,,,,,,
number,non-normal,69.0625,18.04381963674358,66.5,56.0,83.0,27.0,31.0,107.0,32.9,106.05000000000001,40.375,102.625,32.9,106.05,40.38,102.62,Limosilactobacillus mucosae,96,0,,,,,,,,,,,,,,,,
longest,non-normal,339362.9270833333,96431.77454706912,321434.5,259331.25,436894.25,177563.0,173961.0,563344.0,184709.3,550746.0500000002,196804.375,509587.5,184709.3,550746.05,196804.38,509587.5,Limosilactobacillus mucosae,96,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,46.63491666666666,0.1555880174709979,46.66585,46.4973,46.765550000000005,0.2682500000000019,46.262,46.9339,46.28271,46.913665,46.3464875,46.8611875,46.1033,46.9137,46.3465,46.8612,Limosilactobacillus mucosae,96,7,insufficient_data,46.654557142857136,0.2321143736371797,46.6986,46.6842,46.78805,0.10385000000000133,46.1033,46.8355,46.120354999999996,46.834702,46.188575,46.83151,0.35714285714285715,0.29798495849278783,0.10376160714285716
Completeness_Specific,non-normal,99.95739583333334,0.036550330358365184,99.97,99.94,99.98,0.04000000000000625,99.82,100.0,99.82,100.0,99.83125,100.0,97.66,100.0,99.83,100.0,Limosilactobacillus mucosae,96,7,insufficient_data,98.68571428571428,0.4779078555196033,99.02,98.53,99.02,0.4899999999999949,97.66,99.02,97.6813,99.02,97.7665,99.02,1.0,1.0094126831805768e-10,1.2716815476190493
Contamination,non-normal,0.22406250000000003,0.16212506826649808,0.2,0.08,0.3025,0.22249999999999998,0.03,0.77,0.03,0.7320000000000004,0.03,0.655,0.03,0.84,0.03,0.66,Limosilactobacillus mucosae,96,5,insufficient_data,0.6060000000000001,0.13169662106523458,0.54,0.54,0.65,0.10999999999999999,0.46,0.84,0.4616,0.8361999999999999,0.468,0.821,0.9166666666666666,3.249641185452438e-05,0.38193750000000004
Total_Coding_Sequences,normal,1951.46875,100.4541720890883,1957.0,1864.5,2019.25,154.75,1772.0,2189.0,1772.0,2173.8,1792.75,2136.0,1772.0,2336.0,1792.75,2136.0,Limosilactobacillus mucosae,96,7,insufficient_data,2089.0,126.5565937775327,2046.0,2001.0,2146.0,145.0,1947.0,2336.0,1947.93,2331.95,1951.65,2315.75,0.49255952380952384,0.0563685142141571,137.53125000000003
Genome_Size,normal,2079632.78125,104241.24507394726,2066275.5,1991348.75,2165222.75,173874.0,1882947.0,2353560.0,1883073.35,2318063.7250000006,1905603.375,2262033.875,1883073.35,2434610.0,1905603.38,2262033.88,Limosilactobacillus mucosae,96,7,insufficient_data,2151400.285714286,131983.79246463158,2136340.0,2061107.0,2179644.5,118537.5,2007349.0,2434610.0,2007834.79,2427075.7399999998,2009777.95,2396938.6999999997,0.28720238095238093,0.556363341150803,73583.89732142858
