species,scheme,metric,FINAL_lower,FINAL_upper,WARN_lower,WARN_upper,source,engine_severity,lower,upper,ml_lower,ml_upper,auto_lower,auto_upper,refseq_lower,refseq_upper
Acinetobacter johnsonii,qualibact-v1.0,Total_Coding_Sequences,3200,4300,3200,3900,computed,error,3200,4300,3211.87,4202,3211.87,4073.5799999999995,3236.6,4179.115000000001
Acinetobacter johnsonii,qualibact-v1.0,Completeness_Specific,86,,100,100,computed,error,86,,86.87,100,99.99,100,87.0836,95.79
Acinetobacter johnsonii,qualibact-v1.0,Contamination,,9,0.06,2,computed,error,,9,0.06,8.12,0.0629,1.25,1.0132,8.001199999999999
Acinetobacter johnsonii,qualibact-v1.0,N50,30000,,32000,383596.67,computed,error,30000,,30240.24,383596.67,30240.24,383596.67,,
Acinetobacter johnsonii,qualibact-v1.0,no_of_contigs,,470,24.43,450,computed,error,,470,24.43,460.11,24.43,460.10999999999984,,
Acinetobacter johnsonii,qualibact-v1.0,longest,,,111279.29,825134,computed,error,,,111279.29,825134,111279.29,825134,,
Acinetobacter nosocomialis,qualibact-v1.0,Genome_Size,3700000,4500000,3800000,4400000,computed,warn,3700000,4500000,3768285.8,4428133,3768285.8,4324595.2,3798593.94,4422659.68
Acinetobacter nosocomialis,qualibact-v1.0,GC_Content,38.53,39.03,38.6,38.9,computed,warn,38.53,39.03,38.5399,39.0246,38.53994,39.02462,38.647202,38.899370999999995
Acinetobacter nosocomialis,qualibact-v1.0,Total_Coding_Sequences,3500,4300,3500,4200,computed,warn,3500,4300,3521,4216,3521,4137.2,3595.75,4211.24
Acinetobacter nosocomialis,qualibact-v1.0,Completeness_Specific,89,,99,100,computed,warn,89,,89.32,100,99.98,100,89.58009999999999,95.2864
Acinetobacter nosocomialis,qualibact-v1.0,Contamination,,9,0,1,computed,warn,,9,0,8.86,0,0.9939999999999998,1.4923,8.754599999999998
Acinetobacter nosocomialis,qualibact-v1.0,N50,20000,,29000,802378.6,computed,warn,20000,,20670.4,802378.6,20670.4,802378.5999999964,,
Acinetobacter nosocomialis,qualibact-v1.0,no_of_contigs,,430,29.6,290,computed,warn,,430,29.6,421.2,29.6,421.19999999999993,,
Acinetobacter nosocomialis,qualibact-v1.0,longest,,,77345.6,1873775,computed,warn,,,77345.6,1873775,77345.6,1873775,,
Acinetobacter pittii,qualibact-v1.0,Genome_Size,3600000,4500000,3700000,4300000,computed,info,3600000,4500000,3688740,4499353,3701214.4,4405376.454999999,3741095.565,4468208.905
Acinetobacter pittii,qualibact-v1.0,GC_Content,38.47,39.18,38.56,38.91,computed,info,38.47,39.18,38.4757,39.1757,38.475677499999996,38.9387555,38.6406355,39.120377
Acinetobacter pittii,qualibact-v1.0,Total_Coding_Sequences,3400,4400,3500,4100,computed,info,3400,4400,3428.73,4327,3428.73,4211.315,3535.485,4326.19
Acinetobacter pittii,qualibact-v1.0,Completeness_Specific,97,,99,100,computed,info,97,,97.5,100,99.94955,100,98.0265,99.99
Acinetobacter pittii,qualibact-v1.0,Contamination,,2,0.01,1,computed,info,,2,0.01,1.5,0.01,1.122149999999989,0.02265,1.3886999999999998
Acinetobacter pittii,qualibact-v1.0,N50,30000,,51000,985536.83,computed,info,30000,,30895.42,985536.83,30895.425,985536.8349999984,,
Acinetobacter pittii,qualibact-v1.0,no_of_contigs,,300,23,200,computed,info,,300,23,299.47,23,299.47499999999775,,
Acinetobacter pittii,qualibact-v1.0,longest,,,122185,1740532.53,computed,info,,,122185,1740532.53,122185.005,1740532.5299999993,,
Acinetobacter radioresistens,qualibact-v1.0,Genome_Size,2900000,3500000,2900000,3500000,computed,error,2900000,3500000,2984380.26,3496314.51,2984380.255,3496314.51,3091069.49,3432246.84
Acinetobacter radioresistens,qualibact-v1.0,GC_Content,41.16,41.85,41.32,41.75,computed,error,41.16,41.85,41.1654,41.8495,41.165442500000005,41.785106,41.389288,41.843023
Acinetobacter radioresistens,qualibact-v1.0,Total_Coding_Sequences,2700,3400,2700,3400,computed,error,2700,3400,2740.34,3370.98,2740.34,3370.9849999999997,2890.26,3275.65
Acinetobacter radioresistens,qualibact-v1.0,Completeness_Specific,97,,100,100,computed,error,97,,97.64,100,100,100,97.6538,99.65480000000001
Acinetobacter radioresistens,qualibact-v1.0,Contamination,,2,0,1,computed,error,,2,0,1.2,0,0.4799499999999993,0.1844,1.1966999999999999
Acinetobacter radioresistens,qualibact-v1.0,N50,45000,,54000,400625.62,computed,error,45000,,45805.9,400625.62,45805.905,400625.6249999999,,
Acinetobacter radioresistens,qualibact-v1.0,no_of_contigs,,180,24.89,160,computed,error,,180,24.89,178.65,24.89,178.64999999999978,,
Acinetobacter radioresistens,qualibact-v1.0,longest,,,132910.5,729916.92,computed,error,,,132910.5,729916.92,132910.495,729916.9199999989,,
Acinetobacter ursingii,qualibact-v1.0,Genome_Size,3200000,4200000,3300000,4000000,computed,warn,3200000,4200000,3251927.48,4185992,3251927.48,4024415.82,3490077.335,4182194.675
Acinetobacter ursingii,qualibact-v1.0,GC_Content,39.72,40.35,39.79,40.17,computed,warn,39.72,40.35,39.722,40.3467,39.722006,40.197423,39.949325,40.3431615
Acinetobacter ursingii,qualibact-v1.0,Total_Coding_Sequences,3000,4000,3100,3800,computed,warn,3000,4000,3035.12,3947,3035.12,3813.41,3334.945,3944.445
Acinetobacter ursingii,qualibact-v1.0,Completeness_Specific,99,,99,100,computed,warn,99,,99.24,100,99.8853,100,99.24,99.73
Acinetobacter ursingii,qualibact-v1.0,Contamination,,2,0.02,1,computed,warn,,2,0.02,1.13,0.02,1.13,0.041800000000000004,0.5273
Acinetobacter ursingii,qualibact-v1.0,N50,33000,,45000,281706.41,computed,warn,33000,,33433.55,281706.41,33433.55,281706.41,,
Acinetobacter ursingii,qualibact-v1.0,no_of_contigs,,260,50.77,250,computed,warn,,260,50.77,252,50.77,252,,
Acinetobacter ursingii,qualibact-v1.0,longest,,,124017.92,604707.24,computed,warn,,,124017.92,604707.24,124017.92,604707.24,,
Actinobacillus lignieresii,qualibact-v1.0,Genome_Size,2100000,2400000,2200000,2400000,computed,warn,2100000,2400000,2182559.6,2377048,2182559.6,2341702.2,2377048,2377048
Actinobacillus lignieresii,qualibact-v1.0,GC_Content,41.01,41.24,41.03,41.22,computed,warn,41.01,41.24,41.0198,41.2369,41.01982,41.23694,41.1454,41.1454
Actinobacillus lignieresii,qualibact-v1.0,Total_Coding_Sequences,2000,2400,2000,2300,computed,warn,2000,2400,2047.6,2336,2047.6,2282.6,2336,2336
Actinobacillus lignieresii,qualibact-v1.0,Completeness_Specific,93,,100,100,computed,warn,93,,93.05,100,100,100,93.05,93.05
Actinobacillus lignieresii,qualibact-v1.0,Contamination,,1,0,1,computed,warn,,1,0,0.57,0,0.47600000000000137,0.57,0.57
Actinobacillus lignieresii,qualibact-v1.0,N50,36000,,42000,171068.4,computed,warn,36000,,36499.8,171068.4,36499.8,171068.4,,
Actinobacillus lignieresii,qualibact-v1.0,no_of_contigs,,160,44,140,computed,warn,,160,44,159,44,159.00000000000023,,
Actinobacillus lignieresii,qualibact-v1.0,longest,,,91559.8,407169.2,computed,warn,,,91559.8,407169.2,91559.8,407169.2000000009,,
Aerococcus urinae,qualibact-v1.0,Genome_Size,1900000,2200000,1900000,2200000,computed,error,1900000,2200000,1900214.98,2143377.62,1900214.98,2143377.62,1953948.44,2062983.44
Aerococcus urinae,qualibact-v1.0,GC_Content,41.71,42.61,41.72,42.59,computed,error,41.71,42.61,41.7139,42.602,41.713896000000005,42.592517,41.904486,42.601862
Aerococcus urinae,qualibact-v1.0,Total_Coding_Sequences,1700,2000,1700,2000,computed,error,1700,2000,1700,1948,1700,1932,1788.46,1945.5
Aerococcus urinae,qualibact-v1.0,Completeness_Specific,92,,99,99.99,computed,error,92,,92.7,99.99,99.9188,99.99,92.7882,97.86
Aerococcus urinae,qualibact-v1.0,Contamination,,4,0.15,1,computed,error,,4,0.15,3.27,0.1494,0.8173000000000005,2.68,3.2654
Aerococcus urinae,qualibact-v1.0,N50,59000,,75000,553859.09,computed,error,59000,,59405.64,553859.09,59405.64,553859.0900000001,,
Aerococcus urinae,qualibact-v1.0,no_of_contigs,,110,19,90,computed,error,,110,19,109.96,19,109.96000000000004,,
Aerococcus urinae,qualibact-v1.0,longest,,,175144.69,751356.7,computed,error,,,175144.69,751356.7,175144.69,751356.7000000001,,
