metric,distribution,mean,std,median,q1,q3,iqr,min,max,lower_bound,upper_bound,warn_lower,warn_upper,FINAL_LOWER,FINAL_UPPER,WARN_LOWER,WARN_UPPER,species,count,refseq_count,refseq_distribution,refseq_mean,refseq_std,refseq_median,refseq_q1,refseq_q3,refseq_iqr,refseq_min,refseq_max,refseq_lower_bound,refseq_upper_bound,refseq_warn_lower,refseq_warn_upper,KS_statistic,KS_p_value,Wasserstein_Distance
N50,non-normal,181947.4955357143,167926.6914774627,139866.0,41533.25,251238.75,209705.5,6969.0,869412.0,8535.664999999999,749011.1949999989,16141.625,624934.1249999998,8535.66,749011.19,16141.62,624934.12,Bacillus cereus,448,0,,,,,,,,,,,,,,,,
number,non-normal,258.3080357142857,226.71886840880745,160.0,85.0,381.25,296.25,36.0,1331.0,39.0,1130.0049999999997,46.175,831.9499999999999,39.0,1130.0,46.18,831.95,Bacillus cereus,448,0,,,,,,,,,,,,,,,,
longest,non-normal,524369.9866071428,377046.00441395293,423710.5,206044.25,731825.25,525781.0,46110.0,2366961.0,63686.895,1956351.21,104616.725,1339599.4249999998,63686.9,1956351.21,104616.72,1339599.42,Bacillus cereus,448,0,,,,,,,,,,,,,,,,
GC_Content,non-normal,35.06776049107143,0.156875746517091,35.07585,34.9737,35.143175,0.1694749999999985,34.6332,35.7852,34.682998,35.56745,34.74845,35.4144975,34.683,35.6308,34.7484,35.4145,Bacillus cereus,448,194,non-normal,35.22053092783506,0.14149586738406145,35.2719,35.172925,35.304874999999996,0.13194999999999624,34.7684,35.6308,34.8186765,35.5519595,34.878125000000004,35.4032925,0.5817148379970545,3.883314263212004e-43,0.15455994339101645
Completeness_Specific,non-normal,99.9989732142857,0.019383792853377463,100.0,100.0,100.0,0.0,99.59,100.0,99.99,100.0,100.0,100.0,95.97,100.0,100.0,100.0,Bacillus cereus,448,194,non-normal,98.6918556701031,0.5539322037807295,98.815,98.59,99.06,0.46999999999999886,95.97,99.22,96.23055,99.22,96.80199999999999,99.22,1.0,8.604014012086967e-170,1.3071175441826202
Contamination,non-normal,0.38203125,0.8109769400160053,0.07,0.0,0.4725,0.4725,0.0,6.28,0.0,5.24,0.0,2.28,0.0,5.24,0.0,2.28,Bacillus cereus,448,193,non-normal,0.28564766839378236,0.26678418866862996,0.17,0.06,0.48,0.42,0.06,1.36,0.06,1.3215999999999997,0.06,1.0039999999999998,0.46205357142857145,1.335234753545617e-26,0.20776681624722426
Total_Coding_Sequences,non-normal,5852.890625,381.7777484320212,5818.0,5571.75,6043.75,472.0,5022.0,7097.0,5055.23,7065.12,5276.625,6840.0,5055.23,7065.12,5276.62,6840.0,Bacillus cereus,448,194,non-normal,5801.572164948454,261.6643546281034,5776.5,5599.0,5953.5,354.5,5282.0,6780.0,5360.165,6640.075,5425.425,6314.75,0.12587444771723122,0.02459228879448715,101.38215666421209
Genome_Size,non-normal,5722179.776785715,329672.2712293824,5680441.5,5500693.75,5926524.5,425830.75,4942523.0,6752875.0,4981897.375,6734937.544999999,5238003.125,6616928.724999999,4981897.38,6734937.54,5238003.12,6616928.72,Bacillus cereus,448,194,non-normal,5637731.886597938,273646.7592441246,5612597.0,5427504.75,5795434.25,367929.5,5147492.0,6548342.0,5224113.965,6544649.91,5280308.475,6221191.5,0.22592967599410899,1.4878948336476786e-06,100350.779455081
